tipnames	lat	lon	nuts0_id	nuts1_id
KY199557|NA|turdus_merula|DE|2016	51.3396955	12.3730747	DE	DED
OU674388|NA|NA|LU|2020-09	49.611621	6.1319346	LU	LU0
MK230891|Seraing/2017|turdus_merula|BE|2017-08	50.6098842	5.5141268	BE	BE3
KY263625|NA|turdus_merula|BE|2016-10	50.4069751	3.8933321	BE	BE3
KY128482|Snebulosa-6004/NL/2016|strix_nebulosa|NL|2016-09	50.8678177	6.0657726	NL	NL4
OP921076|16TV1039_Turdusmerula|turdus_merula|NL|2016-10-07	51.8181209	5.9200815	NL	NL2
MN122145|AS201600034|turdus_merula|NL|2016-09-01	51.6978545	5.9726751	NL	NL4
MN122146|AS201600036|turdus_merula|NL|2016-09-06	51.9074859	5.7288373	NL	NL2
MN122147|AS201600042|turdus_merula|NL|2016-09-07	51.3703748	6.1724031	NL	NL4
MN122148|AS201600045|turdus_merula|NL|2016-09-07	51.4200163	5.6778516	NL	NL4
MN122149|AS201600048|turdus_merula|NL|2016-09-07	51.4200163	5.6778516	NL	NL4
MN122150|AS201600051|turdus_merula|NL|2016-09-07	51.7024505	5.9845826	NL	NL4
MN122151|AS201600057|turdus_merula|NL|2016-09-08	51.7140001	5.910677	NL	NL4
MN122153|AS201600062|turdus_merula|NL|2016-09-13	51.9074859	5.7288373	NL	NL2
MN122155|AS201600095|turdus_merula|NL|2016-09-21	52.1802463	6.0419227	NL	NL2
MN122156|AS201600098|turdus_merula|NL|2016-09-21	51.6631071	5.6239228	NL	NL4
MN122157|AS201600101|turdus_merula|NL|2016-09-22	51.5394924	5.6302688	NL	NL4
MN122159|AS201600107|turdus_merula|NL|2016-09-22	51.45624	4.6428092	NL	NL4
MN122160|AS201600110|turdus_merula|NL|2016-09-22	51.7449838	5.6829659	NL	NL4
MN122161|AS201600115|turdus_merula|NL|2016-09-22	52.0029907	5.1857599	NL	NL3
MN122162|AS201600118|turdus_merula|NL|2016-09-22	52.1092717	5.1809676	NL	NL3
MN122163|AS201600121|turdus_merula|NL|2016-09-22	52.1190836	4.9973748	NL	NL3
MN122164|AS201600124|turdus_merula|NL|2016-09-23	51.963807	5.9689837	NL	NL2
MN122165|AS201600127|turdus_merula|NL|2016-09-23	52.132633	5.291266	NL	NL3
MN122167|AS201600136|turdus_merula|NL|2016-09-23	51.9851034	5.8987296	NL	NL2
MN122168|AS201600148|turdus_merula|NL|2016-09-23	52.0248208	5.0918192	NL	NL3
MN122169|AS201600173|turdus_merula|NL|2016-10-07	51.9646995	6.2937736	NL	NL2
MN122173|AS201600227|turdus_merula|NL|2016-09-30	52.2291696	5.1668974	NL	NL3
MN122175|AS201600244|turdus_merula|NL|2016-09-27	52.142736	6.1960584	NL	NL2
MN122178|AS201600265|turdus_merula|NL|2016-09-30	52.2215372	6.8936619	NL	NL2
MN122180|AS201600274|turdus_merula|NL|2016-09-27	52.132633	5.291266	NL	NL3
MN122182|AS201600280|turdus_merula|NL|2016-09-26	51.9601532	5.4867641	NL	NL2
