tipnames	nuts3_id	lon	lat
MK230890|Villers/2017|turdus_merula|BE|2017-08	BE310	4.5311841	50.5779995
MK230892|Richelle/2017|turdus_merula|BE|2017-08	BE32B	4.469936	50.503887
KY263624|NA|turdus_merula|BE|2016-10	BE332	5.4608402	50.595753
KY263626|NA|turdus_merula|BE|2016-09	BE334	5.0335995	50.7128797
MN122152|AS201600060|turdus_merula|NL|2016-09-12	NL226	6.076959	51.9294445
MN122154|AS201600089|turdus_merula|NL|2016-09-20	NL413	5.2233403	51.6965437
MN122158|AS201600104|turdus_merula|NL|2016-09-22	NL212	6.2328879	52.4338808
MN122170|AS201600197|turdus_merula|NL|2016-10-11	NL342	4.1181265	51.4217978
MN122171|AS201600203|turdus_merula|NL|2016-10-05	NL230	5.471422	52.518537
MN122176|AS201600247|turdus_merula|NL|2016-09-30	NL341	3.8324265	51.3322854
MN122177|AS201600253|turdus_merula|NL|2016-09-27	NL423	6.0254905	50.9068054
MN122179|AS201600268|turdus_merula|NL|2016-09-30	NL33B	4.6850205	51.9094288
MN122181|AS201600277|turdus_merula|NL|2016-09-27	NL310	4.9096275	52.2274871
MN122188|AS201700024|turdus_merula|NL|2017-04-11	NL226	5.9689837	51.963807
MN122189|AS201700077|turdus_merula|NL|2017-07-03	NL414	5.3978482	51.5077637
MN122196|AS201700103|turdus_merula|NL|2017-07-19	NL310	5.291266	52.132633
MN122198|AS201700109|turdus_merula|NL|2017-07-25	NL221	5.6747544	51.9991039
MN122203|AS201700127|turdus_merula|NL|2017-07-30	NL327	5.2299577	52.303802
MN122215|AS201800038|turdus_merula|NL|2017-09-11	NL124	6.0587045	53.1747145
MN122229|AS201800097|turdus_merula|NL|2018-08-03	NL111	7.0450654	53.2027307
MN122235|AS201800112|turdus_merula|NL|2018-08-14	NL413	5.6743158	51.6028789
KY501101|NA|homo_sapiens|DE|2016-09-26	DEA2D	6.0838868	50.7753455
KY426750|NA|turdus_merula|DE|2015-10-07	DE128	8.6602703	49.544964
KY426752|NA|turdus_merula|DE|2015-08-18	DE712	8.6821267	50.1109221
KY426753|NA|turdus_merula|DE|2015-08-18	DEB32	7.7491265	49.4400657
KY426755|NA|turdus_merula|DE|2016-09-19	DEA22	7.0982068	50.73743
KY426767|NA|turdus_merula|DE|2016-10-14	DE123	8.5844108	49.1249712
KY426768|NA|turdus_merula|DE|2016-10-12	DEB1B	7.8257953	50.4358385
KX601691|USUV-HautRhin7316/France/2015|turdus_merula|FR|2015-08-05	FRF12	7.3191572	47.7229182
KJ438705|NA|culex_pipiens|DE|2010-07-14	DE128	8.6602703	49.544964
KJ438707|NA|culex_pipiens|DE|2011-07-07	DE125	8.6724335	49.3987524
KJ438708|NA|culex_pipiens|DE|2011-08-08	DE715	8.6675419	49.6430169
KJ438709|NA|culex_pipiens|DE|2012-08-15	DE128	8.6602703	49.544964
KJ438713|NA|turdus_merula|DE|2011-08-30	DE125	8.6724335	49.3987524
KJ438715|NA|passer_domesticus|DE|2011-09-19	DEB34	8.3679951	49.4910406
KJ438716|NA|culex_pipiens|DE|2012-07-09	DE21G	12.464053	48.2655698
KJ438718|NA|culex_sp|DE|2011-06-11	DE125	8.6724335	49.3987524
KJ438722|NA|turdus_merula|DE|2012-08-23	DEB36	8.1486886	49.3501864
KJ438724|NA|turdus_merula|DE|2011-09-19	DEA58	7.6615938	51.4332367
KJ438735|NA|turdus_merula|DE|2012-07-24	DE128	8.5498581	49.319552
KJ438736|NA|culex_sp|DE|2012-09-01	DEB3I	8.4035318	49.2883981
KJ438740|NA|turdus_merula|DE|2011-09-16	DE125	8.6724335	49.3987524
KJ438741|NA|turdus_merula|DE|2013-08-26	DE128	8.5722445	49.3852193
KJ438742|NA|turdus_merula|DE|2013-09-23	DE712	8.6821267	50.1109221
KJ438744|NA|turdus_merula|DE|2012-06-23	DEB3H	8.1321826	49.2829172
KJ438749|NA|turdus_merula|DE|2012-07-18	DEB3C	8.2606324	49.4634277
KJ438754|NA|turdus_merula|DE|2012-09-18	DE118	9.2165086	49.2282271
KJ438758|NA|turdus_merula|DE|2013-08-13	DEB38	8.4412172	49.3172765
KJ438759|NA|turdus_merula|DE|2011-09-28	DE71A	8.4890172	50.0695688
KJ859682|BAT1USUTU-BNI|pipistrellus_pipistrellus|DE|2013-09-21	DEB34	8.4447451	49.4774018
KJ859683|BAT2USUTU-BNI|pipistrellus_pipistrellus|DE|2013-10-05	DE148	9.7532823	47.9226998
NA|17TV1446|turdus_merula|NL|2017-09-07	NL414	5.1648652	51.354905
NA|18TV0937|turdus_merula|NL|2018-09-10	NL124	6.0575175	53.1793657
NA|20TV2299|turdus_merula|NL|2020-08-29	NL213	7.0335926	52.2402256
OP555957|NA|turdus_merula|BE|2017-07-24	NA	4.469936	50.503887
OP555958|NA|turdus_merula|BE|2017-08-07	NA	4.469936	50.503887
MK796169|AS201600083|strix_nebulosa|NL|2016-09-20	NA	5.291266	52.132633
MT580899|NA|strix_nebulosa|DE|2018	NA	9.7320104	52.3758916
KY426766|NA|turdus_merula|DE|2016-10-11	DEB3E	8.3637852	49.211472
