tipnames	nuts3_id	lon	lat
MZ754004|USUV-ED-I-82/19|strix_nebulosa|DE|2019	DEC01	7.0382776	49.2286662
MZ754005|USUV-ED-I-121/19_Nr1|strix_nebulosa|DE|2019	DE911	10.5146928	52.2233462
MZ754007|USUV-ED-I-44/20|strix_nebulosa|DE|2019	DE228	13.2675984	48.346549
MZ754011|USUV-ED-I-74/19|turdus_merula|DE|2019	DE929	9.4432827	52.4207534
MZ754025|USUV-B-11590-19|turdus_merula|DE|2019	DEG0J	11.7075	51.053889
MZ754035|USUV-191016985/1|turdus_merula|DE|2019	DE731	9.4915751	51.3118828
MZ754042|USUV-4220027299|turdus_merula|DE|2020	DEE04	11.5296206	52.5909339
MZ754044|USUV-M_3583|turdus_merula|DE|2020	DE721	8.8990998	50.4754531
MZ754054|USUV-1982|leucopsar_rothschildi|DE|2020	DE125	8.6639819	49.4150806
MZ754057|USUV-2440|cyanistes_caeruleus|DE|2020	DE117	9.210879	49.1426929
MZ754060|USUV-20_51217-UGF204|parus_major|DE|2020	DE402	14.3328679	51.7563108
LR989889|ED-I-115/19|mergellus/lophodytes/mergus_sp|DE|2019	DE300	13.5314733	52.5021834
MK956013|USUV-EDI_31/17|turdus_merula|DE|2017	DEA1E	6.1818561	51.2442461
MK956014|USUV-EDI_32/_18|strix_nebulosa|DE|2018	DE944	8.069552	52.2496697
MK956024|USUV-EDI_93/18|turdus_merula|DE|2018	DE80M	11.1906933	53.8600277
MK956042|USUV-P_762|turdus_merula|DE|2018	DEF05	9.2213001	54.008446
NA|AS201600289_BEC009|strix_nebulosa|NL|2016	NL414	5.3983356	51.5279846
OR141534|ED-I-32/18|strix_nebulosa|DE|2018-08	DE944	8.069552	52.2496697
OR141564|19_51217-UGF202|turdus_merula|DE|2019-09	DE406	13.5955945	51.971556
OR141566|ED-I-68/19_Nr1|turdus_merula|DE|2019-08	DE731	9.4915751	51.3118828
OR141580|4220027168|leucopsar_rothschildi|DE|2020-07	DE125	8.6639819	49.4150806
OR141583|2440__200544406__A20194659|turdus_merula|DE|2020-08	DE927	9.2084155	52.6380924
OR141584|20_51217-UGF204|cyanistes_caeruleus|DE|2020-09	DE117	9.210879	49.1426929
OR141586|ED-I-232/20|cyanistes_caeruleus|DE|2020-08	DE300	13.404954	52.5200066
OR166140|ED-I-45/17|strix_nebulosa|DE|2017-09	DE94B	7.0648882	52.4407445
OR166152|ED-I-85/18|turdus_merula|DE|2018-09	DEA32	7.0838411	51.5187651
OR166161|ED-I-27/18|turdus_merula|DE|2018-08	DEA5B	8.1105086	51.5714251
OQ630905|ED-I-86/18|strix_nebulosa|DE|2018-09	DE933	9.8856241	53.4422273
OQ630908|M4509|asio_otus|DE|2021-03	DE933	9.8856241	53.4422273
MK230891|Seraing/2017|turdus_merula|BE|2017-08	BE332	5.5141268	50.6098842
KY263625|NA|turdus_merula|BE|2016-10	BE323	3.8933321	50.4069751
OR141539|ED-I-92/18|turdus_merula|DE|2018-09-03	DE80L	13.4258341	54.4151606
OR141540|ED-I-93/18|turdus_merula|DE|2018-08-31	DE80M	11.1906933	53.8600277
OR141545|ED-I-82/19|strix_nebulosa|DE|2019-07-30	DEC01	7.0382776	49.2286662
OR141546|ED-I-121/19_Nr1|strix_nebulosa|DE|2019-08-23	DE911	10.5146928	52.2233462
OR141548|ED-I-159/19|turdus_merula|DE|2019-09-02	DEE03	11.6080863	52.1131758
OR141550|ED-I-223/19|erithacus_rubecula|DE|2019-09-20	DEA2D	6.1094695	50.8848518
OR141551|ED-I-229/19|turdus_merula|DE|2019-08-24	DE721	8.6784031	50.5840512
OR141552|ED-I-236/19|turdus_merula|DE|2019-08-08	DEA43	8.7220862	52.1941419
OR141553|ED-I-53/20|strix_nebulosa|DE|2019-09-11	DE932	9.08145	53.74298
OR141554|ED-I-64/20|turdus_merula|DE|2019-08-16	DE928	9.3743625	52.3378757
OR141557|B-11136-19|turdus_merula|DE|2019-07-30	DEG05	11.3235439	50.9794934
OR141558|B-11341-19|turdus_merula|DE|2019-08-22	DEG03	11.5892372	50.927054
OR141560|B-11847-19|turdus_merula|DE|2019-09-01	DEG0J	11.7075	51.053889
OR141579|1982__200429855-6__A2015048/20|turdus_merula|DE|2020-08-23	DE721	8.8990998	50.4754531
OR141581|4220027299|turdus_merula|DE|2020-08-24	DEE0E	12.9829937	51.8346387
OR141585|20_51217-UGF217|parus_major|DE|2020-08-25	DE402	14.3328679	51.7563108
OR141600|ED-I-18/22|turdus_merula|DE|2020-09-17	DE928	9.192587	52.3230742
OR141603|ED-I-178/21|strix_nebulosa|DE|2021-08-22	DE933	9.8856241	53.4422273
OR141606|M4509|turdus_merula|DE|2021-09-03	DEE0E	12.9829937	51.8346387
OR166135|ED-I-05/19|turdus_merula|DE|2017-09-12	DE933	9.8856241	53.4422273
OR166146|04-51018-000819|turdus_merula|DE|2018-08-17	DE913	10.7865461	52.4226503
