tipnames	nuts3_id	lon	lat
PQ039624|21|fringilla_coelebs|PL|2023-09-28	PL634	19.4437701	54.3799582
PQ039630|1552|regulus_regulus|PL|2023-11-05	PL634	19.4437701	54.3799582
PQ039631|EJ|garrulus_glandarius|PL|2023-11-21	PL613	18.0084378	53.1234804
PQ039632|WW|motacilla_alba|PL|2023-08-12	PL913	21.215337	51.976466
PQ039637|MB286-23_s3|anas_platyrhynchos|PL|2023-07-25	PL815	22.41078	50.70669
PQ039638|MB285-23|cygnus_olor|PL|2023-07-25	PL843	22.9796023	53.8434431
PQ039639|MB282-23_s4|anas_platyrhynchos|PL|2023-07-21	PL22C	19.0200022	50.1218007
PQ039643|MB294-23|falco_subbuteo|PL|2023-10-12	PL431	15.2369305	52.7325285
PQ039644|123|sylvia_atricapilla|PL|2023-09-10	PL427	16.2007745	53.0997614
PQ039646|1182|regulus_regulus|PL|2023-10-29	PL427	16.2007745	53.0997614
LR989886|ED-I-79/18|bubo_scandiacus|DE|2018	DE300	13.5314733	52.5021834
MK956050|USUV-V_9519|turdus_merula|DE|2017	DED51	12.3730747	51.3396955
MF621058|ME/USUV_38580/Fr_2015|culex_sp|FR|2015	FRL04	4.4689834	43.5939088
KY084483|NA|strix_nebulosa|DE|2016	DEE02	11.9662371	51.4953567
PQ039641|BHG-s1|anser_indicus|PL|2023-10	PL911	21.0122287	52.2296756
KX601692|USUV-Rhone2705/France/2015|turdus_merula|FR|2015-09-23	FRK26	4.80066	45.711926
KU664609|Usutu_Berlin|strix_nebulosa|DE|2015-08-27	DE300	13.404954	52.5200066
KF573410|NA|culex_pipiens|ES|2006-08-22	ES511	2.0130559	41.3154689
NA|8640/France/69/2016|turdus_merula|FR|2016-08-16	FRK26	4.842426	45.79681
NA|8645/France/69/2016|turdus_merula|FR|2016-07-25	FRK26	4.631063	45.5811459
KY113098|BNI-499|turdus_merula|DE|2016-09-04	NA	13.404954	52.5200066
KY426758|NA|turdus_merula|DE|2016-09-25	DE124	8.2099996	48.8590212
