tipnames	nuts3_id	lon	lat
MZ754036|USUV-B-11386-19|turdidae_sp|DE|2019	DEG0C	10.7097574	50.9474251
MZ754047|USUV-201015295|turdus_merula|DE|2020	DE71E	8.7510993	50.3308526
MZ754055|USUV-20_51217-UGF201/2|strix_nebulosa|DE|2020	DE40C	14.048499	52.3674331
MK956025|USUV-EDI_110/18|turdus_merula|DE|2018	DE80O	11.8478394	53.4250382
MK956032|USUV-M_676|pyrrhula_erythaca|DE|2018	DE94F	8.1234508	52.6632914
MK956051|USUV-V_9524|turdus_merula|DE|2017	DED51	12.3730747	51.3396955
KY084498|NA|turdus_merula|DE|2016	DED21	13.7372621	51.0504088
OR141541|ED-I-110/18|turdus_merula|DE|2018-09	DE80O	11.8478394	53.4250382
OR141592|201013632|strix_nebulosa|DE|2020-08	DE40C	14.048499	52.3674331
OR141594|201015295|turdus_merula|DE|2020-09	DE714	8.2397608	50.0782184
OR166136|ED-I-25/17|turdus_merula|DE|2017-08	DEA5B	8.1105291	51.5714188
OR166138|ED-I-38/17|surnia_ulula|DE|2017-09	DED21	13.7522164	51.0373055
MN395379|NA|turdus_merula|CZ|2018-07	CZ064	16.6068371	49.1950602
OR141538|ED-I-80/18|turdidae_sp|DE|2018-09-04	DE300	13.5314733	52.5021834
OR141568|M_1827|strix_nebulosa|DE|2019-09-21	DEC03	7.1780408	49.348932
OR141569|VD-2019/66038/3|turdus_merula|DE|2019-07-10	DE300	13.404954	52.5200066
OR141605|ED-I-228/21|strix_nebulosa|DE|2021-08-11	DE803	12.0826757	54.0800063
OR166137|ED-I-30/17|turdus_merula|DE|2017-08-01	DEA15	6.4315392	51.1941686
MT133690|UV/BlackBird/Sweden/SVA190801SZ0368/VLT001567/2019|turdus_merula|SE|2019-08-01	SE213	16.6364773	56.6648948
MN122166|AS201600133|turdus_merula|NL|2016-09-23	NL213	7.0335926	52.2402256
MN122190|AS201700080|turdus_merula|NL|2017-07-05	NL310	5.2103806	52.1365344
MN122213|AS201700248|turdus_merula|NL|2017-09-20	NL33A	4.8336405	51.8324299
MN395383|NA|turdus_merula|CZ|2018-09-17	CZ010	14.4378005	50.0755381
KY426751|NA|turdus_pilaris|DE|2015-09-01	DE715	8.6675419	49.6430169
KY426762|NA|turdus_merula|DE|2016-09-26	DE123	8.3980172	48.943208
KJ438767|NA|culex_sp|DE|2011-09-08	DE128	8.6621437	49.5125927
KJ438768|NA|culex_sp|DE|2013-08-22	DE125	8.6724335	49.3987524
KJ438770|NA|turdus_merula|DE|2011-09-15	DEB3E	8.3294566	49.2693748
KJ438771|NA|turdus_merula|DE|2013-05-05	DEB3C	8.1465788	49.5234449
KJ438772|NA|turdus_merula|DE|2011-09-18	DE717	8.4939939	49.7534124
KJ438774|NA|turdus_merula|DE|2012-09-04	DEB3I	8.308654	49.3656101
NA|AS20190530|turdus_merula|NL|2019-08-19	NL310	5.470793	52.0060237
NA|AS20200487|turdus_merula|NL|2020-09-15	NL33A	4.6702024	51.8703366
NA|AS20200526|turdus_merula|NL|2020-09-21	NL414	5.3159125	51.3578078
NA|AS20221798|turdus_merula|NL|2022-08-30	NL226	5.9732173	51.8746119
NA|AS201700147|branta_ruficollis|NL|2017-08-14	NL423	6.0480689	50.8675637
OP555956|NA|strix_nebulosa|BE|2017-07-10	NA	4.469936	50.503887
MK796168|AS201600070|strix_nebulosa|NL|2016-09-13	NA	5.291266	52.132633
KY315178|Gracula_religiosa/U1609393/Belgium/2016|gracula_religiosa|BE|2016-10-03	NA	4.469936	50.503887
KU664616|M689|strix_nebulosa|DE|2013	NA	8.4036527	49.0068901
KY426763|NA|turdus_merula|DE|2016-09-24	NA	8.6511929	49.8728253
KY426769|NA|turdus_merula|DE|2016-09-20	NA	7.5889959	50.3569429
KJ438779|NA|turdus_merula|DE|2012-07-12	DEB3C	8.1694167	49.4614148
