tipnames	nuts3_id	lon	lat
MZ754052|USUV-2458|turdus_merula|DE|2020	DE116	9.2702944	48.8215653
OR141590|3248__200666092-005__A20237360|turdus_merula|DE|2020-09	DE116	9.2702944	48.8215653
MK230894|NA|motacilla_alba|BE|2018-09	BE352	4.8649731	50.4649334
KY114797|NA|strix_nebulosa|DE|2016-09-20	DEC01	6.997547	49.2381697
KY426760|NA|turdus_merula|DE|2016-09-29	DEB1C	7.1701755	50.1474123
KY128481|Snebulosa-7890/Fra/2016|strix_nebulosa|FR|2016-09-22	FRK21	5.05352	45.894788
KJ438781|NA|turdus_merula|DE|2011-09-26	DEB3E	8.1658801	49.0867052
NA|10209/France/68/2016|turdus_merula|FR|2016-09-19	FRF12	7.440652	47.6146559
NA|6736/France/68/2017|strix_nebulosa|FR|2017-08-30	FRF12	7.347643	47.7316328
NA|10492/France/67/2021|turdus_merula|FR|2021-09-15	FRF11	7.708784	48.730702
NA|8084/France/68/2023|turdus_merula|FR|2023-07-26	FRF12	7.3322885	48.0912578
MT476094|USUV_5867_2018|NA|CH|2018	NA	8.227512	46.818188
