tipnames	nuts3_id	lon	lat
PP354988|NA|strix_nebulosa|SI|2022-08-30	SI041	14.4720881	46.0527405
NA|23pool1280_23RS1633-583|culex_pipiens|IT|2023-07-05	ITH36	11.7915896	45.387051
NA|23pool1744_23RS1822-82|culex_pipiens|IT|2023-08-03	ITH34	11.9145706	45.7289954
NA|23VIR9300|turdus_merula|IT|2023-10-01	ITH31	10.8379705	45.5215467
NA|23pool1901_23RS1909-300|culex_pipiens|IT|2023-08-16	ITH35	12.0993234	45.3523478
NA|23pool2067_23RS1943-143|culex_pipiens|IT|2023-08-24	ITH31	11.1784065	45.3044238
NA|23pool2138_23RS2497-1|culex_pipiens|IT|2023-11-13	ITH32	11.5755758	45.3920141
NA|23VIR8708|columbidae_sp|IT|2023-09-01	ITH36	11.9204803	45.3705187
MZ754020|USUV-4119031210/1|turdus_merula|DE|2019	DEE02	11.9662371	51.4953567
MZ754045|USUV-VD-2020/58610_|turdus_merula|DE|2020	DED43	12.9546634	51.0482872
MZ754050|USUV-20_51217-UGF197|turdus_merula|DE|2020	DE300	13.404954	52.5200066
MZ754058|USUV-20_51217-UGF208|turdidae_sp|DE|2020	DE40G	14.376813	51.5696303
LR989890|ED-I-139/19|parus_major|DE|2019	DED21	13.7372621	51.0504088
MW803140|UV780/Serbia/2019|culex_pipiens|RS|2019	RS213	19.692337	44.755274
MN912552|NA|culex_pipiens|SK|2018	SK010	17.1077477	48.1485965
MK956040|USUV-M_661|turdidae_sp|DE|2018	DED51	12.3730747	51.3396955
MK881042|USUV220/2018/SK|culex_pipiens|SK|2018	SK023	18.0441986	47.7641821
KU573070|216606/2013|culex_pipiens|IT|2013	ITH57	11.8229725	44.4478787
KU573076|201602-25/2014|culex_pipiens|IT|2014	ITH53	10.7878059	44.7326319
KX257050|NA|turdus_merula|IT|2010	ITI32	13.2152224	43.7197926
KM871201|ITA055|culex_modestus|IT|2011	ITH31	10.9683848	45.2404939
KF055444|NA|culex_pipiens|IT|2012	ITI45	13.9002616	41.4309149
PQ462398|9458_2024_USUV_HU|homo_sapiens|HU|2024	HU110	19.040235	47.497912
OR141573|19_51217-UGF178|turdus_merula|DE|2019-08	DED2C	14.4404735	51.1192747
OR141574|19_51217-UGF179|turdus_merula|DE|2019-09	DE407	13.4194002	51.7953225
OR141596|20_51217-UGF170|turdus_merula|DE|2020-09	DED43	12.9546634	51.0482872
OR141597|20_51217-UGF197|turdidae_sp|DE|2020-07	DE40G	14.695565	51.9514863
OR141598|20_51217-UGF208|turdus_merula|DE|2020-08	DE300	13.404954	52.5200066
OQ414983|TV193/2019|culex_pipiens|RO|2019-07	RO321	26.1025384	44.4267674
MK598452|NA|turdus_merula|HU|2017-08	HU223	16.8416322	46.8416936
MK598453|NA|turdus_merula|HU|2017-09	HU331	19.8515197	46.7112802
MK598454|NA|turdus_merula|HU|2017-09	HU232	17.7967639	46.3593606
MK230904|NA|fringilla_coelebs|BE|2018-09	BE352	4.6917821	50.560234
MK211164|NA|homo_sapiens|HU|2018-09	HU120	19.4618128	47.4480001
PP496780|USU-OE1/2021|NA|CZ|2021-06-15	CZ064	16.7549944	48.7406904
MW533154|E203C/2019/Kosice/SVK|culex_pipiens|SK|2019-07-26	SK042	21.2610746	48.7163857
OM142204|human/Vienna21|homo_sapiens|AT|2021-09-10	AT130	16.3713095	48.2080696
MW160850|NA|culex_pipiens|AT|2018-07-18	AT127	16.5662578	48.1179477
MT891319|USUV/HR/human/10812/2018|homo_sapiens|HR|2018-09-17	HR025	18.0975888	45.4932805
MT891321|USUV/HR/mosquito/34/2019|culex_pipiens|HR|2019-08-01	HR050	15.981919	45.8150108
MN395369|NA|culex_pipiens|CZ|2018-08-14	CZ031	14.717274	49.0846859
MN395384|NA|turdus_merula|CZ|2017-08-05	CZ064	16.6068371	49.1950602
MN419895|NA|culex_modestus|CZ|2016-09-01	CZ064	16.7623041	48.7739859
MK598443|NA|turdus_merula|AT|2017-08-18	AT126	16.14906	48.3025316
MK598444|NA|turdus_merula|AT|2017-09-14	AT127	16.3347827	48.1222795
