tipnames	nuts3_id	lon	lat
MG888044|NA|culex_pipiens|RS|2014-08	RS123	20.294612	45.2052775
MN395374|NA|turdus_merula|CZ|2017-08-08	CZ064	16.6068371	49.1950602
MN419896|NA|turdus_merula|CZ|2017-07-04	CZ064	16.6068371	49.1950602
MN419903|NA|turdus_merula|CZ|2018-07-16	CZ064	16.6068371	49.1950602
MF063049|HU-56596/15|turdus_merula|HU|2015-10-26	HU323	22.3567615	47.8439484
KT445930|13-662|culex_modestus|CZ|2013-08-07	CZ020	14.6537451	49.9932349
JX236667|NA|turdus_merula|CZ|2011-05-25	CZ064	16.5759692	49.1956847
JQ219843|NA|cyanistes_caeruleus|AT|2002-08-29	AT127	16.23091	48.00214
EF206350|Budapest|turdus_merula|HU|2005	NA	19.040235	47.497912
EF393679|USU588-05|turdus_merula|AT|2005	NA	16.3713095	48.2080696
