tipnames	is_europe
MW164662|13pool5744|culex_pipiens|IT|2013-08-13	europe
MW164683|14pool895|culex_pipiens|IT|2014-07-22	europe
MW164686|15pool1335|culex_pipiens|IT|2015-08-03	europe
MW164699|16pool1839|culex_pipiens|IT|2016-08-01	europe
MW164726|17pool1923|culex_pipiens|IT|2017-09-11	europe
MW164737|18pool1229|culex_pipiens|IT|2018-07-19	europe
NA|20VIR5077|turdus_merula|IT|2020-08-21	europe
NA|23pool2067_23RS1943-143|culex_pipiens|IT|2023-08-24	europe
MW164712|17pool1309|culex_pipiens|IT|2017-07-24	europe
MW164730|18pool1009|culex_pipiens|IT|2018-07-10	europe
MW164732|18pool108G|culex_pipiens|IT|2018-09-06	europe
NA|23pool1280_23RS1633-583|culex_pipiens|IT|2023-07-05	europe
HM569263|NA|homo_sapiens|IT|2009-09-24	europe
KX555626|NA|turdus_merula|IT|2010	europe
MW164634|11pool1743|culex_pipiens|IT|2011-08-09	europe
MW164654|12VIR6777-9|turdus_pilaris|IT|2012-09-05	europe
MW164658|13pool5009|culex_pipiens|IT|2013-07-31	europe
MW164678|14pool1494|culex_pipiens|IT|2014-09-02	europe
MW164685|15pool1187|culex_pipiens|IT|2015-07-22	europe
MW164707|16pool2571|culex_pipiens|IT|2016-09-14	europe
MW164711|17pool1252|culex_pipiens|IT|2017-07-19	europe
MW164736|18pool1219|culex_pipiens|IT|2018-07-17	europe
NA|20VIR4811|serinus_canaria|IT|2020-08-10	europe
MW164671|14pool1366|culex_pipiens|IT|2014-08-20	europe
MW164673|14pool1394|culex_pipiens|IT|2014-08-26	europe
MW164719|17pool1647|culex_pipiens|IT|2017-08-16	europe
MW164745|18pool1398|culex_pipiens|IT|2018-07-26	europe
MW164720|17pool1653|culex_pipiens|IT|2017-08-16	europe
KU573076|201602-25/2014|culex_pipiens|IT|2014	europe
KX555627|NA|turdus_merula|IT|2010	europe
KU573072|221034-3/2013|culex_pipiens|IT|2013	europe
MW164644|12pool2194|culex_pipiens|IT|2012-08-09	europe
MW164667|13pool6009|culex_pipiens|IT|2013-08-21	europe
MW164657|12VIR6787-9|alauda_arvensis|IT|2012-09-03	europe
MW164674|14pool1419|culex_pipiens|IT|2014-08-26	europe
MW164698|16pool1777|culex_pipiens|IT|2016-07-25	europe
MW164696|15VIR4781-43|turdus_merula|IT|2015-09-15	europe
MW164647|12pool2262|culex_pipiens|IT|2012-08-07	europe
MW164677|14pool1489|culex_pipiens|IT|2014-09-02	europe
MW164651|12pool2626|culex_pipiens|IT|2012-09-05	europe
MW164666|13pool5999|culex_pipiens|IT|2013-08-21	europe
OR921105|2023TE1839111|phoenicurus_phoenicurus|IT|2023-09-08	europe
ON032474|ITA2020_115108|culex_pipiens|IT|2020	europe
ON032485|ITA2021_302331|turdus_merula|IT|2021	europe
OP734253|NA|culex_pipiens|IT|2022-08-05	europe
OR921095|2023TE1639211|culex_pipiens|IT|2023-08-11	europe
OR757490|17404210|culex_pipiens|IT|2023-07-11	europe
NA|AS201700147|branta_ruficollis|NL|2017-08-14	europe
KY315178|Gracula_religiosa/U1609393/Belgium/2016|gracula_religiosa|BE|2016-10-03	europe
MK796168|AS201600070|strix_nebulosa|NL|2016-09-13	europe
MN122190|AS201700080|turdus_merula|NL|2017-07-05	europe
KX977447|NA|turdus_merula|BE|2016-09	europe
MN122192|AS201700086|turdus_merula|NL|2017-07-11	europe
MN122158|AS201600104|turdus_merula|NL|2016-09-22	europe
OP555958|NA|turdus_merula|BE|2017-08-07	europe
MN122188|AS201700024|turdus_merula|NL|2017-04-11	europe
OP555957|NA|turdus_merula|BE|2017-07-24	europe
MN122198|AS201700109|turdus_merula|NL|2017-07-25	europe
KJ438705|NA|culex_pipiens|DE|2010-07-14	europe
KJ438738|NA|turdus_merula|DE|2011-09-16	europe
KJ438747|NA|turdus_merula|DE|2012-07-17	europe
KJ438741|NA|turdus_merula|DE|2013-08-26	europe
KY426753|NA|turdus_merula|DE|2015-08-18	europe
KY426756|NA|turdus_merula|DE|2016-09-23	europe
MN122154|AS201600089|turdus_merula|NL|2016-09-20	europe
KJ438770|NA|turdus_merula|DE|2011-09-15	europe
KJ438779|NA|turdus_merula|DE|2012-07-12	europe
KJ438771|NA|turdus_merula|DE|2013-05-05	europe
KY426763|NA|turdus_merula|DE|2016-09-24	europe
MK796169|AS201600083|strix_nebulosa|NL|2016-09-20	europe
KY426767|NA|turdus_merula|DE|2016-10-14	europe
KY294722|S-1232|turdus_merula|DE|2016	europe
MT795154|NA|turdus_merula|DE|2016-09-30	europe
MN122175|AS201600244|turdus_merula|NL|2016-09-27	europe
MN122207|AS201700167|turdus_merula|NL|2017-09-01	europe
MN122236|AS201800113|turdus_merula|NL|2018-08-14	europe
NA|AS20190438|gracula_religiosa|NL|2019-09-12	europe
PQ041659|USUV_TM_Netherlands_2016|NA|NL|2020	europe
ON755218|Turdusmerula16_feather_WLC_Day0|turdus_merula|NL|2016	europe
NA|16TV1045|turdus_merula|NL|2017-08-02	europe
MN122182|AS201600280|turdus_merula|NL|2016-09-26	europe
NA|AS20200689|turdus_merula|NL|2020-09-30	europe
NA|AS20210914|turdus_merula|NL|2021-08-30	europe
NA|AS20221860|turdus_merula|NL|2022-09-14	europe
NA|22B00207|turdus_merula|NL|2022-11-12	europe
NA|AS20221846|turdus_merula|NL|2022-09-03	europe
NA|AS20221889|turdus_merula|NL|2022-09-18	europe
NA|AS20221875|turdus_merula|NL|2022-09-11	europe
NA|AS20221813|turdus_merula|NL|2022-08-24	europe
NA|AS20190579|prunella_modularis|NL|2019-09-19	europe
NA|AS20221898|turdus_merula|NL|2022-09-11	europe
MN122219|AS201800086|turdus_merula|NL|2018-08-01	europe
MN122184|AS201600283|turdus_merula|NL|2016-09-27	europe
NA|AS201700173|strix_nebulosa|NL|2017-08-25	europe
MN122252|AS201800152|turdus_merula|NL|2018-08-30	europe
MN122173|AS201600227|turdus_merula|NL|2016-09-30	europe
MN122205|AS201700152|turdus_merula|NL|2017-07-19	europe
MN122222|AS201800089|turdus_merula|NL|2018-08-02	europe
NA|AS201600067|strix_nebulosa|NL|2016-09-09	europe
NA|AS201600289_BEC009|strix_nebulosa|NL|2016	europe
MN122194|AS201700090|turdus_merula|NL|2017-07-13	europe
NA|18TV1517|turdus_merula|NL|2018-10-11	europe
