time	diffusion_coefficient	number_of_branches
1947.94365184292	36.7920613011316	0.02
1948.70668803972	NA	0
1949.46972423652	NA	0
1950.23276043332	NA	0
1950.99579663013	NA	0
1951.75883282693	20.7983388054231	0.04
1952.52186902373	1.21233342871207	0.04
1953.28490522053	16.1688659949216	0.06
1954.04794141733	NA	0
1954.81097761413	NA	0
1955.57401381093	NA	0
1956.33705000774	12.6773745779848	0.02
1957.10008620454	NA	0
1957.86312240134	NA	0
1958.62615859814	5.91091812328516	0.04
1959.38919479494	29.688798791555	0.06
1960.15223099174	NA	0
1960.91526718854	NA	0
1961.67830338535	NA	0
1962.44133958215	NA	0
1963.20437577895	NA	0
1963.96741197575	NA	0
1964.73044817255	23.9941160976978	0.02
1965.49348436935	NA	0
1966.25652056615	34.9572823700673	0.04
1967.01955676296	40.5435696908572	0.06
1967.78259295976	43.850358790288	0.06
1968.54562915656	15.8680516748922	0.08
1969.30866535336	NA	0
1970.07170155016	NA	0
1970.83473774696	68.3773953368481	0.02
1971.59777394376	34.3022027885973	0.1
1972.36081014057	149.052653895821	0.06
1973.12384633737	51.2974412048145	0.02
1973.88688253417	14.8672971057478	0.02
1974.64991873097	18.4180456270743	0.04
1975.41295492777	23.7713086682884	0.06
1976.17599112457	37.5940481112536	0.08
1976.93902732137	56.1413759329726	0.08
1977.70206351818	65.2684532405443	0.06
1978.46509971498	102.752785751147	0.06
1979.22813591178	21.7427722832498	0.04
1979.99117210858	39.8562231167861	0.06
1980.75420830538	118.88073885637	0.04
1981.51724450218	44.2184751591384	0.06
1982.28028069898	13.1990443961882	0.02
1983.04331689578	74.0690854201632	0.04
1983.80635309259	69.7037479374609	0.09
1984.56938928939	80.54504519464	0.07
1985.33242548619	302.120006757242	0.08
1986.09546168299	24.2439429329269	0.02
1986.85849787979	127.510886330221	0.04
1987.62153407659	261.101670929262	0.1
1988.38457027339	61.4901669477792	0.21
1989.1476064702	181.870955404921	0.29
1989.910642667	150.872606026237	0.31
1990.6736788638	262.717343352862	0.35
1991.4367150606	251.746528598698	0.64
1992.1997512574	428.174167287116	0.65
1992.9627874542	428.731465143695	0.74
1993.725823651	396.53238925735	0.76
1994.48885984781	263.760883710979	1.31
1995.25189604461	410.594302060271	1.47
1996.01493224141	554.442650876511	1.62
1996.77796843821	413.322268214997	1.25
1997.54100463501	524.745989689346	1.49
1998.30404083181	506.746396354955	2.15
1999.06707702861	731.738758216157	3.65
1999.83011322542	871.74733999102	6.92
2000.59314942222	869.117188248819	6.99
2001.35618561902	719.722025434453	7.24
2002.11922181582	597.099492770094	8.13
2002.88225801262	553.780841052253	7.62
2003.64529420942	428.175086091889	5.65
2004.40833040622	434.975775149153	5.07
2005.17136660303	452.433349327019	5.99
2005.93440279983	394.643289339629	6.05
2006.69743899663	570.17076213256	7.25
2007.46047519343	814.840220048827	12.08
2008.22351139023	1056.58900891545	16.27
2008.98654758703	1196.11551568606	19.83
2009.74958378383	1144.65217134967	26.06
2010.51261998064	1457.52828661018	32.4
2011.27565617744	1442.85626212078	34.14
2012.03869237424	1073.50439195249	34.78
2012.80172857104	941.26117147524	29.31
2013.56476476784	781.872059395937	26.41
2014.32780096464	708.715259600331	28.95
2015.09083716144	674.584750984487	31.73
2015.85387335825	690.043705604612	41.86
2016.61690955505	880.019632245831	45.5
2017.37994575185	913.19081065106	46.09
2018.14298194865	987.604603862503	41.88
2018.90601814545	638.494743640071	35.42
2019.66905434225	771.927284568842	17.68
2020.43209053905	589.965614148634	14.48
2021.19512673585	363.308433187885	9.65
2021.95816293266	151.64950589081	4.82
2022.72119912946	244.31969625148	9
2023.48423532626	169.472875410036	8
