time	diffusion_coefficient	number_of_branches
1947.94365184292	67.4952321663932	0.02
1948.70668803972	NA	0
1949.46972423652	NA	0
1950.23276043332	NA	0
1950.99579663013	NA	0
1951.75883282693	32.7804465856743	0.04
1952.52186902373	1.75852263634672	0.04
1953.28490522053	23.0316509626464	0.06
1954.04794141733	NA	0
1954.81097761413	NA	0
1955.57401381093	NA	0
1956.33705000774	22.8800599629912	0.02
1957.10008620454	NA	0
1957.86312240134	NA	0
1958.62615859814	8.26809213153826	0.04
1959.38919479494	54.2206261793097	0.06
1960.15223099174	NA	0
1960.91526718854	NA	0
1961.67830338535	NA	0
1962.44133958215	NA	0
1963.20437577895	NA	0
1963.96741197575	NA	0
1964.73044817255	45.7366257826826	0.02
1965.49348436935	NA	0
1966.25652056615	65.1258630028831	0.04
1967.01955676296	72.7705332941884	0.06
1967.78259295976	77.2885133824512	0.06
1968.54562915656	29.6924116735884	0.08
1969.30866535336	NA	0
1970.07170155016	NA	0
1970.83473774696	122.543895906532	0.02
1971.59777394376	55.2036338302092	0.1
1972.36081014057	210.322494599374	0.06
1973.12384633737	88.7276350358267	0.02
1973.88688253417	27.0136248635703	0.02
1974.64991873097	35.0213664689346	0.04
1975.41295492777	42.3354592490739	0.06
1976.17599112457	57.91490844229	0.08
1976.93902732137	101.811987867455	0.08
1977.70206351818	123.435936051988	0.06
1978.46509971498	201.99559372651	0.06
1979.22813591178	42.7220375637757	0.04
1979.99117210858	73.3574883016936	0.06
1980.75420830538	224.788790128126	0.04
1981.51724450218	80.7364469178067	0.06
1982.28028069898	25.7209804623788	0.02
1983.04331689578	101.347605029731	0.04
1983.80635309259	109.024336742745	0.09
1984.56938928939	155.708547959032	0.07
1985.33242548619	453.288791597089	0.08
1986.09546168299	46.5390715022998	0.02
1986.85849787979	226.354229076563	0.04
1987.62153407659	438.944144337522	0.1
1988.38457027339	133.188900476177	0.21
1989.1476064702	309.423290940394	0.29
1989.910642667	369.027461107438	0.31
1990.6736788638	487.756796065353	0.35
1991.4367150606	482.35176152971	0.64
1992.1997512574	856.799959933367	0.65
1992.9627874542	991.314084738589	0.74
1993.725823651	979.877933136738	0.76
1994.48885984781	659.157878096413	1.31
1995.25189604461	1060.52121907431	1.47
1996.01493224141	1444.7104084153	1.62
1996.77796843821	1207.09551036014	1.25
1997.54100463501	1481.83564464296	1.49
1998.30404083181	1566.65085669341	2.15
1999.06707702861	2365.49711487963	3.65
1999.83011322542	3919.76381166014	6.92
2000.59314942222	3950.93271614803	6.99
2001.35618561902	3186.53342893434	7.24
2002.11922181582	3002.47206881388	8.13
2002.88225801262	2588.66716206622	7.62
2003.64529420942	1854.86124717365	5.65
2004.40833040622	1569.79256677411	5.07
2005.17136660303	1834.41797697298	5.99
2005.93440279983	1828.9797296602	6.05
2006.69743899663	2753.00959858631	7.25
2007.46047519343	5604.86931395815	12.08
2008.22351139023	9311.47004811317	16.27
2008.98654758703	14126.6108438698	19.83
2009.74958378383	18267.2653866776	26.06
2010.51261998064	27707.2347763656	32.4
2011.27565617744	30006.6533658604	34.14
2012.03869237424	22313.0085688138	34.78
2012.80172857104	15670.7765262988	29.31
2013.56476476784	12318.4753284701	26.41
2014.32780096464	11901.7838337829	28.95
2015.09083716144	12451.7555133205	31.73
2015.85387335825	17268.2640743615	41.86
2016.61690955505	24272.4024010496	45.5
2017.37994575185	25089.6451708202	46.09
2018.14298194865	24264.7907328274	41.88
2018.90601814545	12444.8022858581	35.42
2019.66905434225	8339.33907942017	17.68
2020.43209053905	4962.18855669219	14.48
2021.19512673585	2492.7187636412	9.65
2021.95816293266	609.019292482001	4.82
2022.72119912946	1652.5533014097	9
2023.48423532626	1037.17670462614	8
