time	diffusion_coefficient	number_of_branches
1981.1359709183	39.3413192511471	0.02
1981.54369090494	24.5638003835369	0.04
1981.95141089158	54.4350190270942	0.08
1982.35913087822	102.996025937923	0.04
1982.76685086486	109.400186308723	0.02
1983.1745708515	3.53483983381331	0.02
1983.58229083814	146.447042061153	0.04
1983.99001082478	304.39914991219	0.04
1984.39773081142	41.9322435942764	0.02
1984.80545079807	74.2974094088354	0.06
1985.21317078471	139.873500114621	0.04
1985.62089077135	104.339847776324	0.02
1986.02861075799	258.62678515312	0.02
1986.43633074463	1.17343817837723	0.02
1986.84405073127	10.0226040373786	0.02
1987.25177071791	18.876272081871	0.02
1987.65949070455	285.443219268092	0.05
1988.06721069119	519.525089581789	0.05
1988.47493067783	120.68278530292	0.07
1988.88265066447	129.018953483642	0.07
1989.29037065111	135.350336285578	0.05
1989.69809063775	108.888269596101	0.16
1990.10581062439	149.036292975726	0.28
1990.51353061103	334.265212611956	0.25
1990.92125059767	393.221784465778	0.27
1991.32897058432	630.358911917593	0.27
1991.73669057096	740.747821060561	0.24
1992.1444105576	560.645902284029	0.26
1992.55213054424	241.854799625803	0.34
1992.95985053088	296.157493382964	0.32
1993.36757051752	249.021901964242	0.39
1993.77529050416	375.538775094579	0.37
1994.1830104908	562.654672971396	0.52
1994.59073047744	714.580241990686	0.5
1994.99845046408	738.181851713734	0.78
1995.40617045072	653.653130891864	0.87
1995.81389043736	586.069722811593	1.07
1996.221610424	779.746899452895	1.26
1996.62933041064	878.239542315222	1.58
1997.03705039728	917.603082434918	1.76
1997.44477038392	756.092935862902	1.99
1997.85249037056	871.109748294515	1.61
1998.26021035721	910.437077759056	1.5
1998.66793034385	849.409836156153	1.78
1999.07565033049	804.351905230601	1.92
1999.48337031713	732.215708948734	2.06
1999.89109030377	648.489355218636	1.97
2000.29881029041	624.148545624302	1.77
2000.70653027705	636.578269105146	2.11
2001.11425026369	625.147153876115	2.11
2001.52197025033	755.178008085606	1.84
2001.92969023697	779.494700783761	1.88
2002.33741022361	815.091586419818	2.08
2002.74513021025	692.472872300859	2.5
2003.15285019689	700.061615234532	2
2003.56057018353	828.719954889476	2.02
2003.96829017017	786.57729516914	2.67
2004.37601015681	756.329631691344	3.63
2004.78373014345	536.253549943973	3.39
2005.1914501301	478.691251996296	3.07
2005.59917011674	775.915574479492	3.49
2006.00689010338	958.494416775502	4.25
2006.41461009002	968.859271826815	5.36
2006.82233007666	1028.72023775194	5.76
2007.2300500633	1066.13562606119	5.67
2007.63777004994	1013.8454639545	4.94
2008.04549003658	1038.90894694156	6.36
2008.45321002322	1314.72637449934	7.17
2008.86093000986	1539.66852681709	9.17
2009.2686499965	1698.50210854084	11.35
2009.67636998314	1538.09686336051	16.95
2010.08408996978	1603.39854460502	21.24
2010.49180995642	1638.71111808033	22.89
2010.89952994306	1387.37433447127	24.01
2011.3072499297	1354.82066237626	23.26
2011.71496991635	1302.15271500952	21.28
2012.12268990299	1240.29983415638	18.31
2012.53040988963	1389.95421306405	19.2
2012.93812987627	1171.2243624139	19.35
2013.34584986291	1252.40760858773	17.58
2013.75356984955	1155.13097317579	18.75
2014.16128983619	1172.28988010179	20.03
2014.56900982283	1284.20314927667	22.82
2014.97672980947	1415.3695247074	31.36
2015.38444979611	1516.94774866504	39.82
2015.79216978275	1497.34132377556	43.56
2016.19988976939	1714.96709479182	41.79
2016.60760975603	1732.27957929238	42.2
2017.01532974267	1380.07263562565	41.01
2017.42304972931	1381.54127934919	29.71
2017.83076971595	1321.29578090838	27.21
2018.23848970259	1922.14024845298	19.72
2018.64620968924	1340.19887835154	18.75
2019.05392967588	537.841286371989	12.92
2019.46164966252	3379.85897512164	2.56
2019.86936964916	1852.74265581653	1.83
2020.2770896358	842.331708523974	0.28
2020.68480962244	NA	0
2021.09252960908	NA	0
2021.50024959572	433.408483678218	1
