time	diffusion_coefficient	number_of_branches
1981.1359709183	74.1028599215461	0.02
1981.54369090494	47.2564281423848	0.04
1981.95141089158	94.5297215284623	0.08
1982.35913087822	140.498144334343	0.04
1982.76685086486	129.232092758521	0.02
1983.1745708515	5.91188510265981	0.02
1983.58229083814	219.53171027045	0.04
1983.99001082478	453.706829890136	0.04
1984.39773081142	83.3885434490554	0.02
1984.80545079807	135.241997309474	0.06
1985.21317078471	234.337345391257	0.04
1985.62089077135	195.758322336464	0.02
1986.02861075799	485.215252661076	0.02
1986.43633074463	1.50445469171444	0.02
1986.84405073127	12.8495569514093	0.02
1987.25177071791	24.1998384727623	0.02
1987.65949070455	645.729859153219	0.05
1988.06721069119	1027.23294479577	0.05
1988.47493067783	515.07088344499	0.07
1988.88265066447	354.021002358078	0.07
1989.29037065111	231.377809986661	0.05
1989.69809063775	110.522843691524	0.16
1990.10581062439	208.823993790679	0.28
1990.51353061103	618.397619696485	0.25
1990.92125059767	607.795437276617	0.27
1991.32897058432	1211.07215475942	0.27
1991.73669057096	1163.47377013603	0.24
1992.1444105576	816.849427881201	0.26
1992.55213054424	584.445737915448	0.34
1992.95985053088	641.138650163116	0.32
1993.36757051752	511.146995729533	0.39
1993.77529050416	765.486705979591	0.37
1994.1830104908	1136.91329857806	0.52
1994.59073047744	1382.77173860665	0.5
1994.99845046408	1705.08430804678	0.78
1995.40617045072	1310.60756334019	0.87
1995.81389043736	1271.46901825085	1.07
1996.221610424	1731.57320974953	1.26
1996.62933041064	1992.66482517651	1.58
1997.03705039728	2061.11207034567	1.76
1997.44477038392	1935.98253097742	1.99
1997.85249037056	1943.58535893437	1.61
1998.26021035721	2194.15285219119	1.5
1998.66793034385	2047.32208517749	1.78
1999.07565033049	2379.59573440247	1.92
1999.48337031713	2207.17355639081	2.06
1999.89109030377	1890.74239059913	1.97
2000.29881029041	1781.58102882405	1.77
2000.70653027705	1842.64132323925	2.11
2001.11425026369	2004.72347030812	2.11
2001.52197025033	2362.01674045821	1.84
2001.92969023697	2385.95691263683	1.88
2002.33741022361	2360.41592864255	2.08
2002.74513021025	2072.67043878176	2.5
2003.15285019689	2158.41287357713	2
2003.56057018353	2222.00303803711	2.02
2003.96829017017	1877.46829151888	2.67
2004.37601015681	2083.67205182995	3.63
2004.78373014345	1625.81683691898	3.39
2005.1914501301	1731.31708121353	3.07
2005.59917011674	2398.68487935378	3.49
2006.00689010338	3362.333780841	4.25
2006.41461009002	3551.70522130231	5.36
2006.82233007666	4178.66143420395	5.76
2007.2300500633	4694.16507623566	5.67
2007.63777004994	3983.68835583108	4.94
2008.04549003658	4885.94358183566	6.36
2008.45321002322	6401.90320627244	7.17
2008.86093000986	9274.88286172244	9.17
2009.2686499965	11766.8965858027	11.35
2009.67636998314	15019.8998288638	16.95
2010.08408996978	20063.4214138192	21.24
2010.49180995642	23145.7686520543	22.89
2010.89952994306	19743.5431144293	24.01
2011.3072499297	18212.5365738231	23.26
2011.71496991635	16434.7856634846	21.28
2012.12268990299	14412.7214783679	18.31
2012.53040988963	17458.6095057616	19.2
2012.93812987627	14758.8897984743	19.35
2013.34584986291	13896.6069470771	17.58
2013.75356984955	13880.5762138128	18.75
2014.16128983619	15518.9052338926	20.03
2014.56900982283	19240.8742713142	22.82
2014.97672980947	27714.7031745525	31.36
2015.38444979611	35953.837730745	39.82
2015.79216978275	39826.1900923246	43.56
2016.19988976939	44294.4585045426	41.79
2016.60760975603	44936.1537145014	42.2
2017.01532974267	33575.2575749102	41.01
2017.42304972931	26105.5989721208	29.71
2017.83076971595	23263.7083006494	27.21
2018.23848970259	22646.4501210631	19.72
2018.64620968924	15424.4719837315	18.75
2019.05392967588	4813.94113437513	12.92
2019.46164966252	7331.02640736875	2.56
2019.86936964916	3086.19295351313	1.83
2020.2770896358	765.058683760823	0.28
2020.68480962244	NA	0
2021.09252960908	NA	0
2021.50024959572	433.408483678218	1
