time	diffusion_coefficient	number_of_branches
2003.01127346104	308.434605092582	0.08
2003.22072854982	385.456688378231	0.14
2003.4301836386	694.862129747747	0.12
2003.63963872738	906.656713050088	0.2
2003.84909381615	1132.56311323061	0.3
2004.05854890493	1924.20251449248	0.41
2004.26800399371	1628.92534977748	0.57
2004.47745908249	1509.2090010604	0.84
2004.68691417127	1245.46082133892	1.11
2004.89636926005	1406.32231411786	1.3
2005.10582434883	1562.52319350482	1.45
2005.31527943761	1990.7356398928	1.44
2005.52473452638	2490.39115569844	1.54
2005.73418961516	2216.37503712008	1.44
2005.94364470394	2303.3683840463	1.45
2006.15309979272	2379.75172495208	1.44
2006.3625548815	2665.53080179982	1.3
2006.57200997028	2067.19081626561	1.24
2006.78146505906	2015.81706701	1.24
2006.99092014783	1785.73457556097	1.47
2007.20037523661	1812.67139983473	1.62
2007.40983032539	1678.63614111158	1.61
2007.61928541417	1641.1656668866	1.53
2007.82874050295	1654.26910268375	1.51
2008.03819559173	1842.41077192702	1.55
2008.24765068051	2223.42986742962	1.52
2008.45710576929	2616.46696298262	1.66
2008.66656085806	2510.90097515311	1.75
2008.87601594684	2176.64821720571	2
2009.08547103562	2061.23489858652	2.21
2009.2949261244	1955.38758971795	2.63
2009.50438121318	1800.93894271604	3.07
2009.71383630196	1959.16908042213	3.39
2009.92329139074	2177.44929217709	3.71
2010.13274647952	2265.72699975332	3.88
2010.34220156829	2376.00746183799	4.04
2010.55165665707	2328.24763789048	4.54
2010.76111174585	2431.6410895209	4.93
2010.97056683463	2438.37677794079	5.56
2011.18002192341	2531.60110566606	5.99
2011.38947701219	2470.90246416868	6.65
2011.59893210097	2571.76362370886	7.25
2011.80838718974	2558.40627360357	7.83
2012.01784227852	2872.63318418389	8.11
2012.2272973673	3036.17931780075	8.18
2012.43675245608	3128.90437776994	8.83
2012.64620754486	2874.56127526055	9.81
2012.85566263364	2785.68273016271	10.87
2013.06511772242	2691.04674538956	12.48
2013.2745728112	2648.76082100378	15
2013.48402789997	2718.46223423523	17.82
2013.69348298875	2851.65840182476	20.19
2013.90293807753	3111.70899423749	21.45
2014.11239316631	3227.54873731899	23.61
2014.32184825509	3344.1566514924	24.12
2014.53130334387	3244.31919067615	25.4
2014.74075843265	3124.10519256154	26.42
2014.95021352143	2939.66782117209	28.95
2015.1596686102	2827.28186704465	30.86
2015.36912369898	2740.57027230042	36.07
2015.57857878776	2812.22694182876	39.98
2015.78803387654	2900.33981551183	44.9
2015.99748896532	2991.94932272092	48.56
2016.2069440541	3132.62128226786	54.83
2016.41639914288	3054.13039583893	60.38
2016.62585423165	2901.25509631623	60.62
2016.83530932043	2748.6441249261	60.6
2017.04476440921	2709.41941116007	59.96
2017.25421949799	2643.3453934567	56
2017.46367458677	2931.9076728158	51.71
2017.67312967555	3138.71318480147	53.38
2017.88258476433	3204.50633728184	55.99
2018.09203985311	3717.17940529374	57.26
2018.30149494188	4007.93688961279	66.4
2018.51095003066	3519.40740443099	63.72
2018.72040511944	2969.60082382073	58.21
2018.92986020822	2124.76032894887	52.4
2019.139315297	1157.32862130212	27.84
2019.34877038578	1407.57130423631	5.1
2019.55822547456	1781.03551518799	4.85
2019.76768056334	1927.86140208701	5.92
2019.97713565211	2288.68468265908	6.7
2020.18659074089	2380.03191272129	9.61
2020.39604582967	1868.87304943043	13.17
2020.60550091845	1666.62541452511	12.75
2020.81495600723	1361.39623713478	12.33
2021.02441109601	1063.92570034948	10.77
2021.23386618479	1560.08053835025	6.93
2021.44332127356	1624.27738077815	5.91
2021.65277636234	1543.97731411445	5.47
2021.86223145112	1308.85602911251	5.35
2022.0716865399	1068.56310738058	5.07
2022.28114162868	1439.58715978318	3.94
2022.49059671746	1472.01947439337	3.88
2022.70005180624	1544.15929694886	4.27
2022.90950689502	1708.5754127981	4.67
2023.11896198379	2181.60026816124	6.24
2023.32841707257	2758.28943533624	8.03
2023.53787216135	2564.87100351697	8.73
2023.74732725013	2247.00449330542	8.38
