time	diffusion_coefficient	number_of_branches
2003.01127346104	440.889223887152	0
2003.22072854982	673.354432111748	0
2003.4301836386	954.496229465006	0
2003.63963872738	788.305129851451	0
2003.84909381615	616.403683457417	0
2004.05854890493	1365.61519844089	0
2004.26800399371	2066.62130231378	0
2004.47745908249	2502.50268262236	0
2004.68691417127	1344.49946022843	0
2004.89636926005	1932.3119826553	2
2005.10582434883	2581.26748389452	2
2005.31527943761	3151.73513167387	2
2005.52473452638	3630.17329889811	2
2005.73418961516	3375.81584412724	2
2005.94364470394	3008.75384855665	2
2006.15309979272	2923.61032466995	0
2006.3625548815	3333.1004196589	0
2006.57200997028	4107.78042226713	0
2006.78146505906	3646.54197772879	0
2006.99092014783	3661.83552698647	0
2007.20037523661	3564.58343102025	3
2007.40983032539	3426.37030994932	0
2007.61928541417	3368.08540119199	0
2007.82874050295	3430.68515650874	0
2008.03819559173	3740.04242724859	0
2008.24765068051	4679.70763915676	0
2008.45710576929	4757.98332338866	0
2008.66656085806	4153.94289478119	0
2008.87601594684	3805.08782647106	3
2009.08547103562	3452.68232687806	3
2009.2949261244	3690.17992259344	3
2009.50438121318	4380.38489081451	3
2009.71383630196	5290.84926515919	3
2009.92329139074	6052.3937964835	3
2010.13274647952	6616.32409557527	3
2010.34220156829	7029.43600397435	3
2010.55165665707	7805.94917274083	4
2010.76111174585	7681.30478250751	5
2010.97056683463	8111.34152294556	5
2011.18002192341	10817.7070652393	6
2011.38947701219	11015.8129753053	6
2011.59893210097	10956.6344170604	6
2011.80838718974	11464.9989783771	7.5
2012.01784227852	14079.543169988	8
2012.2272973673	15208.1686560419	9
2012.43675245608	15887.8137679332	9
2012.64620754486	16709.6875619045	9
2012.85566263364	17504.8074159342	9
2013.06511772242	19107.6968609726	12
2013.2745728112	22225.469093767	14.5
2013.48402789997	26611.7904851291	18
2013.69348298875	32677.4382256621	20
2013.90293807753	37535.2562457033	21
2014.11239316631	43588.5215183234	23
2014.32184825509	46628.4295382278	24
2014.53130334387	48521.1994011611	26
2014.74075843265	50480.9098878418	26
2014.95021352143	50366.6363592017	29
2015.1596686102	50994.5947360667	30
2015.36912369898	56736.4136147623	36
2015.57857878776	64668.5683912578	39.5
2015.78803387654	72074.2939219064	45
2015.99748896532	80930.7098380795	48
2016.2069440541	91683.8043357763	55
2016.41639914288	97797.4883632884	59.5
2016.62585423165	99336.5645856724	60
2016.83530932043	95691.7393949285	61
2017.04476440921	95212.5171641619	60
2017.25421949799	85706.3545255967	55
2017.46367458677	86273.8609180443	52
2017.67312967555	92539.7855367913	53.5
2017.88258476433	105631.914902209	55
2018.09203985311	119263.011723501	57
2018.30149494188	147916.899416458	66.5
2018.51095003066	122863.424638269	64
2018.72040511944	92139.1664627742	58
2018.92986020822	59573.2760662497	52
2019.139315297	16022.0682978658	28
2019.34877038578	4428.34985981078	5
2019.55822547456	5160.66673599593	5
2019.76768056334	5613.57704773332	6
2019.97713565211	7661.21655928395	6.5
2020.18659074089	12555.3513370839	10
2020.39604582967	13234.5561855399	13
2020.60550091845	11540.972372353	13
2020.81495600723	8823.76070074753	12
2021.02441109601	5976.92593510398	11
2021.23386618479	6160.38802265399	7
2021.44332127356	5705.07302994345	6
2021.65277636234	5425.6358145861	5
2021.86223145112	5382.20666851489	5
2022.0716865399	4587.09963397819	5
2022.28114162868	4960.09016026769	4
2022.49059671746	4408.64203116616	4
2022.70005180624	4712.58783125596	4
2022.90950689502	5324.51491474882	4
2023.11896198379	7925.01660488167	7
2023.32841707257	12023.3744221547	8
2023.53787216135	12024.3049335296	9
2023.74732725013	9663.80808601787	8
