time	diffusion_coefficient	number_of_branches
1941.16147146041	45.9933890979512	0.02
1941.99244999464	NA	0
1942.82342852887	NA	0
1943.6544070631	NA	0
1944.48538559733	NA	0
1945.31636413156	NA	0
1946.14734266579	NA	0
1946.97832120003	NA	0
1947.80929973426	NA	0
1948.64027826849	NA	0
1949.47125680272	NA	0
1950.30223533695	3.95782568651609	0.02
1951.13321387118	NA	0
1951.96419240542	NA	0
1952.79517093965	NA	0
1953.62614947388	NA	0
1954.45712800811	6.73184575188692	0.02
1955.28810654234	NA	0
1956.11908507657	NA	0
1956.9500636108	NA	0
1957.78104214504	16.2207792503345	0.02
1958.61202067927	NA	0
1959.4429992135	NA	0
1960.27397774773	NA	0
1961.10495628196	NA	0
1961.93593481619	NA	0
1962.76691335042	NA	0
1963.59789188466	33.0904289883046	0.05
1964.42887041889	52.0626341635413	0.05
1965.25984895312	NA	0
1966.09082748735	NA	0
1966.92180602158	NA	0
1967.75278455581	NA	0
1968.58376309005	377.838616903812	0.02
1969.41474162428	NA	0
1970.24572015851	40.8199601392721	0.02
1971.07669869274	NA	0
1971.90767722697	9.79372149390382	0.02
1972.7386557612	297.401852318529	0.02
1973.56963429543	53.455033480294	0.04
1974.40061282967	NA	0
1975.2315913639	NA	0
1976.06256989813	307.420003611618	0.07
1976.89354843236	127.406364700461	0.06
1977.72452696659	471.214433026135	0.14
1978.55550550082	54.3427726308794	0.13
1979.38648403505	78.9629750113152	0.03
1980.21746256929	86.7909896832586	0.12
1981.04844110352	21.618570092014	0.12
1981.87941963775	87.9005115653121	0.17
1982.71039817198	56.3714867746856	0.08
1983.54137670621	NA	0
1984.37235524044	52.9135899137194	0.1
1985.20333377468	88.3526095619641	0.08
1986.03431230891	156.879639198607	0.1
1986.86529084314	60.6731564683813	0.17
1987.69626937737	182.912160586279	0.21
1988.5272479116	66.1042732480077	0.21
1989.35822644583	88.538690968685	0.24
1990.18920498006	113.791602548856	0.13
1991.0201835143	260.562203027849	0.24
1991.85116204853	413.278924313732	0.21
1992.68214058276	419.939611008065	0.26
1993.51311911699	588.039884643909	0.31
1994.34409765122	385.68317588472	0.36
1995.17507618545	379.344667227266	0.22
1996.00605471968	383.344722112435	0.27
1996.83703325392	345.257510920852	0.23
1997.66801178815	337.765968458454	0.43
1998.49899032238	665.450475685817	0.63
1999.32996885661	728.925724457631	0.88
2000.16094739084	645.125871506519	0.69
2000.99192592507	684.742333933269	0.78
2001.82290445931	647.426727494314	0.55
2002.65388299354	609.487979300006	0.76
2003.48486152777	753.764951755906	0.84
2004.315840062	954.699875780971	0.67
2005.14681859623	631.081236396031	0.66
2005.97779713046	678.368562787273	0.89
2006.80877566469	627.007697921694	2.07
2007.63975419893	696.170476393566	1.16
2008.47073273316	1215.34590295244	1.46
2009.30171126739	919.863214730166	1.55
2010.13268980162	1155.12638743185	1.58
2010.96366833585	707.242230382502	1.57
2011.79464687008	727.287428588601	1.97
2012.62562540431	1066.91703860071	2.18
2013.45660393855	1108.0243627491	3.17
2014.28758247278	1739.54892283672	4.98
2015.11856100701	1558.27430449675	6.57
2015.94953954124	1193.35761169352	9.52
2016.78051807547	1063.7801711987	10.1
2017.6114966097	1086.36515134754	3.49
2018.44247514394	798.492276209381	2
2019.27345367817	823.697249630862	1.68
2020.1044322124	1040.11935335284	1.99
2020.93541074663	1161.42593873249	2.71
2021.76638928086	1347.5752583106	3.52
2022.59736781509	1982.17813877392	4.48
2023.42834634932	2125.99869002141	9.27
