time	diffusion_coefficient	number_of_branches
1941.16147146041	70.0584675924541	0.02
1941.99244999464	NA	0
1942.82342852887	NA	0
1943.6544070631	NA	0
1944.48538559733	NA	0
1945.31636413156	NA	0
1946.14734266579	NA	0
1946.97832120003	NA	0
1947.80929973426	NA	0
1948.64027826849	NA	0
1949.47125680272	NA	0
1950.30223533695	6.76141213255792	0.02
1951.13321387118	NA	0
1951.96419240542	NA	0
1952.79517093965	NA	0
1953.62614947388	NA	0
1954.45712800811	11.7089302872076	0.02
1955.28810654234	NA	0
1956.11908507657	NA	0
1956.9500636108	NA	0
1957.78104214504	24.0447163143517	0.02
1958.61202067927	NA	0
1959.4429992135	NA	0
1960.27397774773	NA	0
1961.10495628196	NA	0
1961.93593481619	NA	0
1962.76691335042	NA	0
1963.59789188466	76.557683658225	0.05
1964.42887041889	90.9456851246805	0.05
1965.25984895312	NA	0
1966.09082748735	NA	0
1966.92180602158	NA	0
1967.75278455581	NA	0
1968.58376309005	467.00723150118	0.02
1969.41474162428	NA	0
1970.24572015851	81.2311515281619	0.02
1971.07669869274	NA	0
1971.90767722697	19.3661552399291	0.02
1972.7386557612	384.122866762777	0.02
1973.56963429543	99.3978009907953	0.04
1974.40061282967	NA	0
1975.2315913639	NA	0
1976.06256989813	631.92652290082	0.07
1976.89354843236	176.625483067866	0.06
1977.72452696659	749.267951510635	0.14
1978.55550550082	111.249807727725	0.13
1979.38648403505	214.520132818236	0.03
1980.21746256929	88.1597328933248	0.12
1981.04844110352	38.2236116525402	0.12
1981.87941963775	149.934862262301	0.17
1982.71039817198	146.131987337561	0.08
1983.54137670621	NA	0
1984.37235524044	95.4476694076253	0.1
1985.20333377468	154.375948801193	0.08
1986.03431230891	229.213706913901	0.1
1986.86529084314	90.2862180767163	0.17
1987.69626937737	310.830258460385	0.21
1988.5272479116	125.01432077197	0.21
1989.35822644583	197.582798547187	0.24
1990.18920498006	214.70725312141	0.13
1991.0201835143	759.617457334381	0.24
1991.85116204853	664.901779142351	0.21
1992.68214058276	705.249195110562	0.26
1993.51311911699	1123.88632040367	0.31
1994.34409765122	835.004137436938	0.36
1995.17507618545	831.703746433494	0.22
1996.00605471968	966.650656076906	0.27
1996.83703325392	660.624879122829	0.23
1997.66801178815	758.248552909273	0.43
1998.49899032238	1269.45109378965	0.63
1999.32996885661	1795.81280196543	0.88
2000.16094739084	1450.20893328218	0.69
2000.99192592507	1835.14676546385	0.78
2001.82290445931	1341.1440089945	0.55
2002.65388299354	1388.12400787621	0.76
2003.48486152777	1898.94612650505	0.84
2004.315840062	2342.25026911589	0.67
2005.14681859623	1628.95388357682	0.66
2005.97779713046	1670.691743139	0.89
2006.80877566469	1109.80131306874	2.07
2007.63975419893	1774.92405730191	1.16
2008.47073273316	3176.45901664794	1.46
2009.30171126739	2451.22413775423	1.55
2010.13268980162	3071.28051741528	1.58
2010.96366833585	1966.28673462554	1.57
2011.79464687008	2273.6925609563	1.97
2012.62562540431	3014.02951940957	2.18
2013.45660393855	3292.50574940699	3.17
2014.28758247278	6158.70283089503	4.98
2015.11856100701	6595.27492634196	6.57
2015.94953954124	6715.30933252812	9.52
2016.78051807547	5699.01969502508	10.1
2017.6114966097	2902.4057205724	3.49
2018.44247514394	1602.55953051368	2
2019.27345367817	2292.84888495066	1.68
2020.1044322124	3076.6127125098	1.99
2020.93541074663	3677.57161514748	2.71
2021.76638928086	4426.60203235906	3.52
2022.59736781509	7348.18221925785	4.48
2023.42834634932	13015.1567947971	9.27
