sequence_accession,collection_regionname,collection_countryname,collection_subdiv1name,collection_subdiv2name,host_sciname,host_commonname,date_ymd,date_dec,date_ym,date_y,date_tipdate,Organization
OP422564,western europe,germany,brandenburg,cottbus,strix nebulosa,great grey owl,NA,NA,NA,1959,1959,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
KY114797,western europe,germany,NA,NA,strix nebulosa,great grey owl,NA,NA,NA,1969,1969,"Friedrich-Loeffler-Institut, Federal Research Institute for Animal Health, Institute of Novel and Emerging Infectious Diseases"
OR141540,western europe,germany,mecklenburg-vorpommern,nordwestmecklenburg,turdus merula,eurasian blackbird,NA,NA,NA,2004,2004,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141541,western europe,germany,mecklenburg-vorpommern,ludwigslust-parchim,turdus merula,eurasian blackbird,NA,NA,NA,2004,2004,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141542,western europe,germany,mecklenburg-vorpommern,nordwestmecklenburg,turdus merula,eurasian blackbird,NA,NA,NA,2004,2004,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141543,western europe,germany,mecklenburg-vorpommern,nordwestmecklenburg,turdus merula,eurasian blackbird,NA,NA,NA,2004,2004,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
OR141545,western europe,germany,saarland,regionalverband saarbrücken,strix nebulosa,great grey owl,NA,NA,NA,2004,2004,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
LR989890,western europe,germany,berlin,NA,parus major,great tit,NA,NA,NA,2006,2006,"Friedrich-Loeffler-Institute, Federal Research Institute for Animal Health, Institute of Diagnostic Virology, Suedufer 10, Greifswald - Insel Riems, Mecklenburg - Western Pomerania, 17493"
JF826447,southern europe,italy,emilia-romagna,bologna,homo sapiens,human,NA,NA,NA,2009,2009,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
JF826448,southern europe,italy,emilia-romagna,bologna,homo sapiens,human,NA,NA,NA,2009,2009,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MZ754004,western europe,germany,saarland,regionalverband saarbrücken,strix nebulosa,great grey owl,NA,NA,NA,2009,2009,"Friedrich-Loeffler-Institut, INNT"
KU664610,western europe,germany,baden-württemberg,heidelberg,strix nebulosa,great grey owl,NA,NA,NA,2010,2010,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
KU664611,western europe,germany,baden-württemberg,heidelberg,strix nebulosa,great grey owl,NA,NA,NA,2010,2010,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
KU664612,western europe,germany,baden-württemberg,mannheim,strix nebulosa,great grey owl,NA,NA,NA,2010,2010,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
KU664613,western europe,germany,baden-württemberg,rhein-neckar-kreis,strix nebulosa,great grey owl,NA,NA,NA,2010,2010,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
KU664614,western europe,germany,baden-württemberg,rhein-neckar-kreis,strix nebulosa,great grey owl,NA,NA,NA,2010,2010,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
KU664615,western europe,germany,baden-württemberg,mannheim,strix nebulosa,great grey owl,NA,NA,NA,2010,2010,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
KU664616,western europe,germany,baden-württemberg,karlsruhe,strix nebulosa,great grey owl,NA,NA,NA,2010,2010,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
KU664617,western europe,germany,baden-württemberg,karlsruhe,strix nebulosa,great grey owl,NA,NA,NA,2010,2010,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
KY114798,western europe,germany,NA,NA,strix nebulosa,great grey owl,NA,NA,NA,2010,2010,"Friedrich-Loeffler-Institut, Federal Research Institute for Animal Health, Institute of Novel and Emerging Infectious Diseases"
MZ754005,western europe,germany,niedersachsen,braunschweig,strix nebulosa,great grey owl,NA,NA,NA,2010,2010,"Friedrich-Loeffler-Institut, INNT"
MZ754006,western europe,germany,brandenburg,cottbus,strix nebulosa,great grey owl,NA,NA,NA,2010,2010,"Friedrich-Loeffler-Institut, INNT"
MZ754007,western europe,germany,bayern,passau,strix nebulosa,great grey owl,NA,NA,NA,2010,2010,"Friedrich-Loeffler-Institut, INNT"
MZ754008,western europe,germany,saarland,neunkirchen,strix nebulosa,great grey owl,NA,NA,NA,2010,2010,"Friedrich-Loeffler-Institut, INNT"
MZ754009,western europe,germany,brandenburg,oder-spree,strix nebulosa,great grey owl,NA,NA,NA,2010,2010,"Friedrich-Loeffler-Institut, INNT"
MZ754014,western europe,germany,nordrhein-westfalen,essen,turdus merula,eurasian blackbird,NA,NA,NA,2010,2010,"Friedrich-Loeffler-Institut, INNT"
OP422563,western europe,germany,niedersachsen,region hannover,turdus merula,eurasian blackbird,NA,NA,NA,2010,2010,"Friedrich-Loeffler-Institut, Institute of Novel and Emerging Infectious Diseases"
MK956003,western europe,germany,niedersachsen,lüneburg,turdus merula,eurasian blackbird,NA,NA,NA,2011,2011,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MK956004,western europe,germany,niedersachsen,osterholz,turdus merula,eurasian blackbird,NA,NA,NA,2011,2011,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MK956005,western europe,germany,niedersachsen,lüneburg,turdus merula,eurasian blackbird,NA,NA,NA,2011,2011,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MK956008,western europe,germany,nordrhein-westfalen,essen,turdus merula,eurasian blackbird,NA,NA,NA,2011,2011,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MK956009,western europe,germany,niedersachsen,grafschaft bentheim,strix nebulosa,great grey owl,NA,NA,NA,2011,2011,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MK956010,western europe,germany,bayern,nürnberg,strix nebulosa,great grey owl,NA,NA,NA,2011,2011,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MK956011,western europe,germany,niedersachsen,region hannover,strix nebulosa,great grey owl,NA,NA,NA,2011,2011,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MK956013,western europe,germany,nordrhein-westfalen,viersen,turdus merula,eurasian blackbird,NA,NA,NA,2011,2011,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MK956014,western europe,germany,niedersachsen,osnabrück,strix nebulosa,great grey owl,NA,NA,NA,2011,2011,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MK956015,western europe,germany,sachsen,dresden,surnia ulula,northern hawk owl,NA,NA,NA,2011,2011,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MK956016,western europe,germany,sachsen-anhalt,halle (saale),strix nebulosa,great grey owl,NA,NA,NA,2011,2011,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MK956017,western europe,germany,bayern,nürnberg,strix nebulosa,great grey owl,NA,NA,NA,2011,2011,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MK956018,western europe,germany,saarland,regionalverband saarbrücken,turdus merula,eurasian blackbird,NA,NA,NA,2011,2011,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MK956020,western europe,germany,bayern,münchen,turdus merula,eurasian blackbird,NA,NA,NA,2011,2011,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MK956021,western europe,germany,bayern,würzburg,turdus merula,eurasian blackbird,NA,NA,NA,2011,2011,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MK956022,western europe,germany,berlin,NA,turdidae sp.,thrush sp.,NA,NA,NA,2011,2011,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MK956024,western europe,germany,mecklenburg-vorpommern,nordwestmecklenburg,turdus merula,eurasian blackbird,NA,NA,NA,2011,2011,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MK956027,western europe,germany,mecklenburg-vorpommern,nordwestmecklenburg,turdus merula,eurasian blackbird,NA,NA,NA,2011,2011,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MK956028,western europe,germany,sachsen,leipzig,turdus merula,eurasian blackbird,NA,NA,NA,2011,2011,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MK956030,western europe,germany,sachsen,leipzig,turdus merula,eurasian blackbird,NA,NA,NA,2011,2011,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MK956033,western europe,germany,baden-württemberg,freiburg im breisgau,passer domesticus,house sparrow,NA,NA,NA,2011,2011,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MK956035,western europe,germany,baden-württemberg,karlsruhe,strix nebulosa,great grey owl,NA,NA,NA,2011,2011,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MK956036,western europe,germany,sachsen,leipzig,turdidae sp.,thrush sp.,NA,NA,NA,2011,2011,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MK956040,western europe,germany,sachsen,leipzig,turdidae sp.,thrush sp.,NA,NA,NA,2011,2011,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MK956041,western europe,germany,schleswig-holstein,herzogtum lauenburg,turdus merula,eurasian blackbird,NA,NA,NA,2011,2011,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
MK956042,western europe,germany,schleswig-holstein,dithmarschen,turdus merula,eurasian blackbird,NA,NA,NA,2011,2011,"Friedrich-Loeffler-Institut, Institute for Novel and Emerging Infectious Diseases"
