accession,isolate,lineage
NA,17VIR7838-4,EU2(A)
NA,17VIR7761-4,EU2(A)
NA,17pool1671,EU2(A)
NA,17pool1250,EU2(A)
NA,17pool1729,EU2(A)
NA,16pool2021,EU2(A)
NA,18VIR7808-6,EU2(A)
NA,16pool1634,EU2(A)
NA,15pool1751,EU2(A)
NA,15VIR4781-31,EU2(A)
NA,15pool1939,EU2(A)
NA,15pool1335,EU2(A)
NA,18pool1267,EU2(A)
NA,14pool1703,EU2(A)
NA,15pool1564,EU2(A)
NA,15pool1759,EU2(A)
NA,17pool1191,EU2(A)
NA,18pool1660,EU2(A)
NA,18pool1662,EU2(A)
NA,16pool2311,EU2(A)
NA,18pool1009,EU2(A)
NA,18pool1556,EU2(A)
NA,18pool1649,EU2(A)
NA,17pool1544,EU2(A)
NA,17pool1309,EU2(A)
NA,17pool1688,EU2(A)
NA,18pool1405,EU2(A)
NA,18pool1965,EU2(A)
NA,18pool1430,EU2(A)
NA,17pool1525,EU2(A)
NA,18pool1141,EU2(A)
NA,16pool2117,EU2(A)
NA,18pool1442,EU2(A)
NA,17VIR8655-3,EU2(A)
NA,18pool1018,EU2(A)
NA,18pool1755,EU2(A)
NA,18pool1506,EU2(A)
NA,16pool1870,EU2(A)
NA,16pool2355,EU2(A)
NA,16pool1839,EU2(A)
NA,18pool1832,EU2(A)
NA,18pool1264,EU2(A)
NA,18pool1229,EU2(A)
NA,18pool1614,EU2(A)
NA,18pool108G,EU2(A)
NA,18pool948,EU2(A)
NA,14pool895,EU2(A)
NA,15pool1419,EU2(A)
NA,13pool5744,EU2(A)
NA,18pool1163,EU2(A)
NA,18pool1509,EU2(A)
NA,17pool1488,EU2(A)
NA,18pool1261,EU2(A)
NA,17pool1609,EU2(A)
NA,17pool1923,EU2(A)
NA,18pool2042,EU2(A)
NA,18pool78G,EU2(A)
NA,18pool1262,EU2(A)
NA,18pool1519,EU2(A)
NA,18pool1522,EU2(A)
NA,18pool1610,EU2(A)
NA,18pool1219,EU2(A)
NA,18pool1347,EU2(A)
NA,18pool1575,EU2(A)
NA,18pool1124,EU2(A)
NA,17pool1252,EU2(A)
NA,15pool1187,EU2(A)
NA,18pool1398,EU2(A)
NA,18pool1795,EU2(A)
NA,17pool1647,EU2(A)
NA,18pool1617,EU2(A)
NA,18pool1523,EU2(A)
NA,18pool1712,EU2(A)
NA,16pool2571,EU2(A)
NA,17pool103G,EU2(A)
NA,18VIR7859-4,EU2(A)
NA,17pool1493,EU2(A)
NA,17pool1653,EU2(A)
NA,17pool1646,EU2(A)
NA,17pool1709,EU2(A)
NA,15pool1426,EU2(A)
NA,18pool1263,EU2(A)
NA,14pool1478,EU2(A)
NA,14pool1388,EU2(A)
NA,12pool2628,EU2(A)
NA,12VIR6777-9,EU2(A)
NA,12pool2316,EU2(A)
NA,14pool1394,EU2(A)
NA,14VIR5467-8,EU2(A)
NA,14pool1366,EU2(A)
NA,14pool857,EU2(A)
NA,11pool1941,EU2(A)
NA,11pool2444,EU2(A)
NA,13pool5778,EU2(A)
NA,13pool6465,EU2(A)
NA,13pool5009,EU2(A)
NA,12pool1898,EU2(A)
NA,12pool1948,EU2(A)
NA,14pool1494,EU2(A)
NA,14pool1511,EU2(A)
NA,13pool6472,EU2(A)
NA,13pool6471,EU2(A)
NA,11pool2135,EU2(A)
NA,11pool1743,EU2(A)
NA,11pool1805,EU2(A)
NA,17pool1664,EU2(A)
NA,18pool1258,EU2(A)
NA,13pool5687,EU2(A)
NA,13pool5827,EU2(A)
