Accession,Submitters,Organization,Release_Date,Isolate,Length,Nuc_Completeness,Geo_Location,Country,Host,Isolation_Source,Collection_Date,complete_date,complete_location,date_format,wild/captive,migration pattern,notes
NA,,,,20VIR5077,,,Venice,Italy,Turdus merula,,21/08/2020,,,,,,
NA,,,,20VIR4951,,,Padua,Italy,Serinus canaria,,19/08/2020,,,,,,
NA,,,,20VIR4811,,,Padua,Italy,Serinus canaria,,10/08/2020,,,,,,
NA,,,,22VIR7059-3,,,Udine,Italy,Turdus merula,,20/07/2022,,,,,,
NA,,,,22VIR7086-3,,,Venice,Italy,Turdus merula,,18/07/2022,,,,,,
NA,,,,22VIR7146-3,,,Udine,Italy,Columba livia,,22/07/2022,,,,,,
NA,,,,22VIR8275-3,,,Venice,Italy,Turdus merula,,11/08/2022,,,,,,
NA,,,,22VIR8403-2,,,Udine,Italy,Turdus merula,,01/09/2022,,,,,,
NA,,,,22VIR8404-2,,,Udine,Italy,Turdus merula,,01/09/2022,,,,,,
NA,,,,23pool1280_23RS1633-583,,,"Selvazzano Dentro, Padua",Italy,Culex pipiens,,05/07/2023,,,,,,
NA,,,,23pool1744_23RS1822-82,,,"Riese Pio X, Treviso",Italy,Culex pipiens,,03/08/2023,,,,,,
NA,,,,23VIR9300,,,"Sant'Ambrogio di Valpolicella, Verona",Italy,Turdus merula,,01/10/2023,,,,,,
NA,,,,23VIR8795,,,"Meolo, Venice",Italy,Turdus merula,,23/08/2023,,,,,,
NA,,,,23VIR9292,,,Verona,Italy,Turdus merula,,01/10/2023,,,,,,
NA,,,,23pool1901_23RS1909-300,,,"Campagna Lupia, Venice",Italy,Culex pipiens,,16/08/2023,,,,,,
NA,,,,23pool2067_23RS1943-143,,,"Oppeano, Verona",Italy,Culex pipiens,,24/08/2023,,,,,,
NA,,,,23pool2138_23RS2497-1,,,"Barbarano Mossano, Vicenza",Italy,Culex pipiens,,13/11/2023,,,,,,
NA,,,,23VIR8708,,,"Ponte San Nicolò, Padua",Italy,Columba vulgaris,,01/09/2023,,,,,,
