Accession,Assembly,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Nuc_Completeness,Geo_Location,Country,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject
PQ570973,,"Breman,F.C., Sohier,C.","Sciensano, Exotic and Vector borne diseases",Belgium,2024-11-30,108actief2023,Orthoflavivirus usutuense,391,partial,9FH9+XXX Kalmthout,Belgium,Turdus merula,swab,2023-09-04,,
PQ570974,,"Breman,F.C., Sohier,C.","Sciensano, Exotic and Vector borne diseases",Belgium,2024-11-30,111actief2023,Orthoflavivirus usutuense,426,partial,QWJ2+222 Hoegaarden,Belgium,Turdus merula,swab,2023-08-01,,
PQ570975,,"Breman,F.C., Sohier,C.","Sciensano, Exotic and Vector borne diseases",Belgium,2024-11-30,134actief2023,Orthoflavivirus usutuense,427,partial,W8JR+222 Hasselt,Belgium,Turdus merula,swab,2023-07-10,,
PQ570976,,"Breman,F.C., Sohier,C.","Sciensano, Exotic and Vector borne diseases",Belgium,2024-11-30,17actief2023,Orthoflavivirus usutuense,378,partial,8G22+225 Brasschaat,Belgium,Ovis aries,swab,2023-07-06,,
PQ570977,,"Breman,F.C., Sohier,C.","Sciensano, Exotic and Vector borne diseases",Belgium,2024-11-30,3actief2023,Orthoflavivirus usutuense,426,partial,8H29+2X5 Brecht,Belgium,Turdus merula,swab,2023-09-16,,
PQ570978,,"Breman,F.C., Sohier,C.","Sciensano, Exotic and Vector borne diseases",Belgium,2024-11-30,47actief2023,Orthoflavivirus usutuense,406,partial,88R9+2X5 Antwerp,Belgium,Turdus merula,swab,2023-08-03,,
PQ570979,,"Breman,F.C., Sohier,C.","Sciensano, Exotic and Vector borne diseases",Belgium,2024-11-30,U22101010002passief2022,Orthoflavivirus usutuense,368,partial,6C69+2X5 Antwerp,Belgium,Rhea americana,brain,2023-08-19,,
PQ462398,,"Nagy,A.","National Center for Public Health and Pharmacy, National Reference Laboratory for Viral Zoonoses",Hungary,2024-11-12,9458_2024_USUV_HU,Orthoflavivirus usutuense,426,partial,Hungary: Budapest,Hungary,Homo sapiens,cerebrospinal fluid,2024,,
PQ394280,,"Nagy,A.","National Center for Public Health and Pharmacy, National Reference Laboratory for Viral Zoonoses",Hungary,2024-10-16,204_USUV_Hungary_2024,Orthoflavivirus usutuense,390,partial,Hungary,Hungary,Culex,pooled insects,2024,,
PQ394281,,"Nagy,A.","National Center for Public Health and Pharmacy, National Reference Laboratory for Viral Zoonoses",Hungary,2024-10-16,205_USUV_Hungary_2024,Orthoflavivirus usutuense,390,partial,Hungary,Hungary,Culex,pooled insects,2024,,
PQ394282,,"Nagy,A.","National Center for Public Health and Pharmacy, National Reference Laboratory for Viral Zoonoses",Hungary,2024-10-16,265_USUV_Hungary_2024,Orthoflavivirus usutuense,369,partial,Hungary,Hungary,Culex,pooled insects,2024,,
PQ394283,,"Nagy,A.","National Center for Public Health and Pharmacy, National Reference Laboratory for Viral Zoonoses",Hungary,2024-10-16,296_USUV_Hungary_2024,Orthoflavivirus usutuense,390,partial,Hungary,Hungary,Culex,pooled insects,2024,,
PQ394284,,"Nagy,A.","National Center for Public Health and Pharmacy, National Reference Laboratory for Viral Zoonoses",Hungary,2024-10-16,7096_USUV_Hungary_2024,Orthoflavivirus usutuense,390,partial,Hungary,Hungary,Homo sapiens,urine,2024,,
