Accession,Submitters,Organization,Release_Date,Isolate,Length,Nuc_Completeness,Geo_Location,Country,Host,Isolation_Source,Collection_Date,complete_date,complete_location,date_format,wild/captive,migration pattern,notes
AM909649,"Busquets,N., Alba,A., Nunez,J.I., Serrano,E., Allepuz,A., Aranda,C.","Busquets N., Virology, CReSA, Edifici CReSA, Universitat Autonoma de Barcelona, 08193",2008-05-03,,99,partial,"Spain:Catalonia, Viladecans",Spain,Culex pipiens,,2006-08-22,TRUE,,yyyy-mm-dd,,,
AY453411,"Weissenbock,H., Kolodziejek,J., Url,A., Lussy,H., Rebel-Bauder,B., Nowotny,N., Bakonyi,T., Gould,E.A.","Institute of Virology, University of Veterinary Medicine, Clinical Virology Group",2004-10-05,,11066,complete,,Austria,,,,FALSE,,NA,,,missing complete date
AY453412,"Bakonyi,T., Gould,E.A., Kolodziejek,J., Weissenbock,H., Nowotny,N.","Institute of Virology, University of Veterinary Medicine, Clinical Virology Group",2004-10-05,,11064,complete,,South Africa,Culicidae,,,FALSE,,NA,,,missing complete date
EF078294,"Chvala,S., Bakonyi,T., Bukovsky,C., Meister,T., Brugger,K., Rubel,F., Nowotny,N., Weissenbock,H.","University of Veterinary Medicine, Vienna, Zoonoses and Emerging Infectious Group, Clinical Virology, Department of Diagnostic Imaging, Infectious Diseases and Clinical Pathology",2007-05-27,USU281-03,1347,partial,Austria: Vienna,Austria,Turdus merula,,2003,FALSE,,yyyy,,,
EF078295,"Chvala,S., Bakonyi,T., Bukovsky,C., Meister,T., Brugger,K., Rubel,F., Nowotny,N., Weissenbock,H.","University of Veterinary Medicine, Vienna, Zoonoses and Emerging Infectious Group, Clinical Virology, Department of Diagnostic Imaging, Infectious Diseases and Clinical Pathology",2007-05-27,USU450-03,1347,partial,Austria: Strasshof,Austria,Parus major,,2003,FALSE,,yyyy,,,
EF078296,"Chvala,S., Bakonyi,T., Bukovsky,C., Meister,T., Brugger,K., Rubel,F., Nowotny,N., Weissenbock,H.","University of Veterinary Medicine, Vienna, Zoonoses and Emerging Infectious Group, Clinical Virology, Department of Diagnostic Imaging, Infectious Diseases and Clinical Pathology",2007-05-27,USU499-03,1347,partial,Austria: Neunkirchen,Austria,Sitta europaea,,2003,FALSE,,yyyy,,,
EF078297,"Chvala,S., Bakonyi,T., Bukovsky,C., Meister,T., Brugger,K., Rubel,F., Nowotny,N., Weissenbock,H.","University of Veterinary Medicine, Vienna, Zoonoses and Emerging Infectious Group, Clinical Virology, Department of Diagnostic Imaging, Infectious Diseases and Clinical Pathology",2007-05-27,USU502-03,1347,partial,Austria: Stegersbach,Austria,Turdus merula,,2003,FALSE,,yyyy,,,
EF078298,"Chvala,S., Bakonyi,T., Bukovsky,C., Meister,T., Brugger,K., Rubel,F., Nowotny,N., Weissenbock,H.","University of Veterinary Medicine, Vienna, Zoonoses and Emerging Infectious Group, Clinical Virology, Department of Diagnostic Imaging, Infectious Diseases and Clinical Pathology",2007-05-27,USU338-04,1347,partial,Austria: Klosterneuburg,Austria,Turdus merula,,2004,FALSE,,yyyy,,,
EF078299,"Chvala,S., Bakonyi,T., Bukovsky,C., Meister,T., Brugger,K., Rubel,F., Nowotny,N., Weissenbock,H.","University of Veterinary Medicine, Vienna, Zoonoses and Emerging Infectious Group, Clinical Virology, Department of Diagnostic Imaging, Infectious Diseases and Clinical Pathology",2007-05-27,USU618-04,1347,partial,Austria: Graz,Austria,Turdus merula,,2004,FALSE,,yyyy,,,
EF078300,"Chvala,S., Bakonyi,T., Bukovsky,C., Meister,T., Brugger,K., Rubel,F., Nowotny,N., Weissenbock,H.","University of Veterinary Medicine, Vienna, Zoonoses and Emerging Infectious Group, Clinical Virology, Department of Diagnostic Imaging, Infectious Diseases and Clinical Pathology",2007-05-27,USU623-04,1347,partial,Austria: Biberbach,Austria,Turdus merula,,2004,FALSE,,yyyy,,,
EF078301,"Chvala,S., Bakonyi,T., Bukovsky,C., Meister,T., Brugger,K., Rubel,F., Nowotny,N., Weissenbock,H.","University of Veterinary Medicine, Vienna, Zoonoses and Emerging Infectious Group, Clinical Virology, Department of Diagnostic Imaging, Infectious Diseases and Clinical Pathology",2007-05-27,USU589-05,1347,partial,Austria: Vienna,Austria,Turdus merula,,2005,FALSE,,yyyy,,,
