sequence_accession,lineage,sublineage
MK956003,Europe 3,
MK956004,Europe 3,
MK956005,Europe 3,
MK956006,Africa 3,
MK956007,Europe 3,
MK956008,Europe 3,
MK956009,Africa 3,
MK956010,Europe 3,
MK956011,Europe 3,
MK956012,Africa 3,
MK956013,Africa 3,
MK956014,Africa 3,
MK956015,Europe 3,
MK956016,Africa 3,
MK956017,Europe 3,
MK956018,Europe 3,
MK956019,Europe 3,
MK956020,Europe 3,
MK956021,Europe 3,
MK956022,Europe 3,
MK956023,Africa 3,
MK956024,Africa 3,
MK956025,Europe 3,
MK956026,Europe 3,
MK956027,Africa 3,
MK956028,Africa 2,
MK956029,Africa 3,
MK956030,Africa 3,
MK956031,Europe 3,
MK956032,Europe 3,
MK956033,Europe 3,
MK956034,Africa 3,
MK956035,Europe 3,
MK956036,Europe 3,
MK956037,Europe 3,
MK956038,Africa 3,
MK956039,Europe 3,
MK956040,Europe 2,
MK956041,Europe 3,
MK956042,Africa 3,
MK956043,Africa 3,
MK956044,Europe 3,
MK956045,Europe 3,
MK956046,Africa 3,
MK956047,Africa 3,
MK956048,Africa 3,
MK956049,Africa 3,
MK956050,Africa 2,
MK956051,Europe 3,
MK956052,Africa 2,
MK956053,Europe 3,
MK956054,Africa 2,
MK956055,Europe 3,
MK956056,Africa 3,
MN122145,Africa 3,Africa 3.2
MN122146,Africa 3,Africa 3.3
MN122147,Africa 3,Africa 3.3
MN122148,Africa 3,Africa 3.2
MN122149,Africa 3,Africa 3.3
MN122150,Africa 3,Africa 3.3
MN122151,Africa 3,Africa 3.2
MN122152,Europe 3,
MN122153,Africa 3,Africa 3.3
MN122154,Europe 3,
MN122155,Africa 3,Africa 3.3
MN122156,Africa 3,Africa 3.2
MN122157,Africa 3,Africa 3.3
MN122158,Europe 3,
MN122159,Africa 3,Africa 3.3
MN122160,Africa 3,Africa 3.3
MN122161,Africa 3,Africa 3.3
MN122162,Africa 3,Africa 3.2
MN122163,Africa 3,Africa 3.2
MN122164,Africa 3,Africa 3.2
MN122165,Africa 3,Africa 3.3
MN122166,Europe 3,
MN122167,Africa 3,Africa 3.3
MN122168,Africa 3,Africa 3.3
MN122169,Africa 3,Africa 3.2
MN122170,Europe 3,
MN122171,Europe 3,
MN122172,Europe 3,
MN122173,Africa 3,Africa 3.3
MN122174,Europe 3,
MN122175,Africa 3,Africa 3.2
MN122176,Europe 3,
MN122177,Europe 3,
MN122178,Africa 3,Africa 3.3
MN122179,Europe 3,
MN122180,Africa 3,Africa 3.3
MN122181,Europe 3,
MN122182,Africa 3,Africa 3.2
MN122183,Africa 3,Africa 3.3
MN122184,Africa 3,Africa 3.3
MN122185,Africa 3,Africa 3.2
MN122186,Africa 3,Africa 3.2
MN122187,Africa 3,Africa 3.2
MN122188,Europe 3,
MN122189,Europe 3,
MN122190,Europe 3,
MN122191,Africa 3,Africa 3.3
MN122192,Europe 3,
MN122193,Africa 3,Africa 3.3
MN122194,Africa 3,Africa 3.3
MN122195,Africa 3,Africa 3.3
MN122196,Europe 3,
MN122197,Africa 3,Africa 3.3
MN122198,Europe 3,
MN122199,Africa 3,Africa 3.3
MN122200,Africa 3,Africa 3.3
MN122201,Africa 3,Africa 3.2
MN122202,Africa 3,Africa 3.3
MN122203,Europe 3,
MN122204,Africa 3,Africa 3.3
MN122205,Africa 3,Africa 3.3
MN122206,Africa 3,Africa 3.2
MN122207,Africa 3,Africa 3.3
MN122208,Africa 3,Africa 3.3
MN122209,Africa 3,Africa 3.3
MN122210,Africa 3,Africa 3.3
MN122211,Africa 3,Africa 3.2
MN122212,Africa 3,Africa 3.3
MN122213,Europe 3,
MN122214,Africa 3,Africa 3.2
MN122215,Europe 3,
MN122216,Africa 3,Africa 3.3
MN122217,Africa 3,Africa 3.3
MN122218,Africa 3,Africa 3.3
MN122219,Africa 3,Africa 3.3
MN122220,Africa 3,Africa 3.2
MN122221,Africa 3,Africa 3.3
MN122222,Africa 3,Africa 3.3
MN122223,Africa 3,Africa 3.3
MN122224,Africa 3,Africa 3.2
MN122225,Africa 3,Africa 3.3
MN122226,Africa 3,Africa 3.3
MN122227,Africa 3,Africa 3.2
